resource,consumer
Calliostoma nudum,Acanthocyclus albatrossis
Calliostoma nudum,Anasterias antarctica
Calliostoma nudum,Eurypodius latreillii
Calliostoma nudum,Peltarion spinosulum
Calliostoma nudum,Paralomis granulosa
Calliostoma nudum,Lithodes santolla
Crustacea,Acanthocyclus albatrossis
Crustacea,Eurypodius latreillii
Crustacea,Pagurus comptus
Crustacea,Munida gregaria
Crustacea,Cephalopoda
Crustacea,Myxine glutinosa
Crustacea,Peltarion spinosulum
Crustacea,Bathyraja brachyurops
Crustacea,Genypterus blacodes
Crustacea,Bathyraja griseocauda
Crustacea,Paralomis granulosa
Crustacea,Bathyraja albomaculata
Crustacea,Patagonotothen ramsayi
Crustacea,Polynoidae
Crustacea,Congiopodus peruvianus
Crustacea,Raja (Dipturus) chilensis
Crustacea,Eleginops maclovinus
Crustacea,Schroederichthys bivius
Fissurella picta,Acanthocyclus albatrossis
Fissurella picta,Anasterias antarctica
Fissurella picta,Eurypodius latreillii
Fissurella picta,Peltarion spinosulum
Fissurella picta,Paralomis granulosa
Fissurella picta,Lithodes santolla
Gastropoda,Acanthocyclus albatrossis
Gastropoda,Anasterias antarctica
Gastropoda,Eurypodius latreillii
Gastropoda,Munida gregaria
Gastropoda,Patagonotothen cornucola
Gastropoda,Dissostichus eleginoides
Gastropoda,Myxine glutinosa
Gastropoda,Peltarion spinosulum
Gastropoda,Bathyraja brachyurops
Gastropoda,Cottoperca gobio
Gastropoda,Macruronus magellanicus
Gastropoda,Bathyraja griseocauda
Gastropoda,Patagonotothen tessellata
Gastropoda,Arbacia dufresnii
Gastropoda,Paralomis granulosa
Gastropoda,Patagonotothen ramsayi
Gastropoda,Salilota australis
Gastropoda,Polynoidae
Gastropoda,Galaxias maculatus
Gastropoda,Raja (Dipturus) chilensis
Gastropoda,Lithodes santolla
Gastropoda,Odontesthes nigricans
Isopoda,Acanthocyclus albatrossis
Isopoda,Anasterias antarctica
Isopoda,Eurypodius latreillii
Isopoda,Halicarcinus planatus 
Isopoda,Pagurus comptus
Isopoda,Harpagifer bispinis
Isopoda,Munida gregaria
Isopoda,Patagonotothen cornucola
Isopoda,Nemertea
Isopoda,Dissostichus eleginoides
Isopoda,Bathyraja brachyurops
Isopoda,Cottoperca gobio
Isopoda,Genypterus blacodes
Isopoda,Patagonotothen sp.
Isopoda,Sprattus fuegensis
Isopoda,Bathyraja griseocauda
Isopoda,Bathyraja scaphiops
Isopoda,Patagonotothen longipes
Isopoda,Patagonotothen sima
Isopoda,Patagonotothen tessellata
Isopoda,Arbacia dufresnii
Isopoda,Paralomis granulosa
Isopoda,Bathyraja albomaculata
Isopoda,Paranotothenia magellanica
Isopoda,Patagonotothen ramsayi
Isopoda,Salilota australis
Isopoda,Raja (Dipturus) chilensis
Isopoda,Austrolycus depressiceps
Isopoda,Eleginops maclovinus
Isopoda,Lithodes santolla
Isopoda,Odontesthes nigricans
Isopoda,Schroederichthys bivius
Macroalgae,Calliostoma nudum
Macroalgae,Fissurella picta
Macroalgae,Margarella violacea
Macroalgae,Acanthocyclus albatrossis
Macroalgae,Crepipatella dilatata
Macroalgae,Eurypodius latreillii
Macroalgae,Laevilitorina caliginosa
Macroalgae,Pagurus comptus
Macroalgae,Munida gregaria
Macroalgae,Gammaridea
Macroalgae,Peltarion spinosulum
Macroalgae,Bathyraja brachyurops
Macroalgae,Cottoperca gobio
Macroalgae,Bathyraja griseocauda
Macroalgae,Arbacia dufresnii
Macroalgae,Paralomis granulosa
Macroalgae,Paranotothenia magellanica
