resource,consumer
Diatoms benthic,Abyssianira argentenensis
Diatoms centric,Abyssianira argentenensis
Diatoms pennate,Abyssianira argentenensis
Diatoms benthic,Abyssianira dentifrons
Diatoms centric,Abyssianira dentifrons
Diatoms pennate,Abyssianira dentifrons
Diatoms benthic,Abyssianira spp
Diatoms centric,Abyssianira spp
Diatoms pennate,Abyssianira spp
Detritus,Acanthoserolis schythei
Necromass,Acodontaster elongatus
Necromass,Acodontaster sp
Foraminifera,Actinauge longicornis
Polycheria spp,Actinostola crassicornis
Eatoniella spp,Actinostola crassicornis
Liotella crassicostata,Actinostola crassicornis
Odostomia sp,Actinostola crassicornis
Onoba spp,Actinostola crassicornis
Scissurella clathrata,Actinostola crassicornis
Zygochlamys patagonica,Adelomelon ancilla
Fusitriton magellanicus,Adelomelon ancilla
Eurhomalea sp,Adelomelon ancilla
Detritus,Advenogonium fuegiae
Detritus,Aega semicarinata
Foraminifera,Aglaophamus virginis
Lumbrineridae,Aglaophamus virginis
Orbiniidae,Aglaophamus virginis
Eteone spp,Aglaophamus virginis
Syllidae,Aglaophamus virginis
Themisto gaudichaudii,Agonopsis chiloensis
Euphausia spp,Agonopsis chiloensis
Diatoms benthic,Alcyonium antarcticum
Diatoms centric,Alcyonium antarcticum
Diatoms pennate,Alcyonium antarcticum
Detritus,Allorostrata ovalis
Detritus,Allorostrata scutifrons
Tryphosella sp,Amblyraja doellojuradoi
Libidoclaea granaria,Amblyraja doellojuradoi
Eurypodius latreillii,Amblyraja doellojuradoi
Grimothea subrugosa,Amblyraja doellojuradoi
Sympagurus dimorphus,Amblyraja doellojuradoi
Campylonotus vagans,Amblyraja doellojuradoi
Patagonotothen ramsayi,Amblyraja doellojuradoi
Acanthoserolis schythei,Amblyraja doellojuradoi
Natatolana pastorei,Amblyraja doellojuradoi
Macrochiridothea stebbingi,Amblyraja doellojuradoi
Onuphis pseudoiridescens,Amblyraja doellojuradoi
Pista spp,Amblyraja doellojuradoi
Terebellides malvinensis,Amblyraja doellojuradoi
Nicolea chilensis,Amblyraja doellojuradoi
Thelepus sp,Amblyraja doellojuradoi
Eteone spp,Amblyraja doellojuradoi
Glycera spp,Amblyraja doellojuradoi
Eunereis patagonica,Amblyraja doellojuradoi
Nicon maculata,Amblyraja doellojuradoi
Serpula spp,Amblyraja doellojuradoi
Aglaophamus virginis,Amblyraja doellojuradoi
Nephtys sp,Amblyraja doellojuradoi
Lumbrineridae,Amblyraja doellojuradoi
Orbiniidae,Amblyraja doellojuradoi
Maldanidae,Amblyraja doellojuradoi
Metepimeria acanthurus,Amblyraja georgiana
Themisto gaudichaudii,Amblyraja georgiana
Doryteuthis gahi,Amblyraja georgiana
Austrocidaris canaliculata,Amblyraja georgiana
Austrocidaris spinulosida,Amblyraja georgiana
Lepidonotothen squamifrons,Amblyraja georgiana
Muraenolepis spp,Amblyraja georgiana
Patagonotothen guntheri,Amblyraja georgiana
Trophon ohlini,Amblyraja georgiana
Trophon plicatus,Amblyraja georgiana
Acanthoserolis schythei,Amblyraja georgiana
Natatolana pastorei,Amblyraja georgiana
Neoserolis exigua,Amblyraja georgiana
Aglaophamus virginis,Amblyraja georgiana
Boccardia sp,Amblyraja georgiana
Eucranta sp,Amblyraja georgiana
Harmothoe sp,Amblyraja georgiana
Hermadion magalhaensi,Amblyraja georgiana
Nephtys sp,Amblyraja georgiana
Polydora sp,Amblyraja georgiana
Polyeunoa laevis,Amblyraja georgiana
Spiophanes sp,Amblyraja georgiana
Euphausia spp,Amblyraja georgiana
Detritus,Ampharete kerguelensis
Bacteria,Ampharete kerguelensis
Foraminifera,Ampharete kerguelensis
Diatoms benthic,Ampharete kerguelensis
Diatoms centric,Ampharete kerguelensis
Diatoms pennate,Ampharete kerguelensis
Trophon ohlini,Anasterias antarctica
