ID,Filum,Clase,Orden,Familia,Género,Especie trófica,Abundancia (ind/m3),Biomasa                       (mg C/m3),Peso             (g),Talla (mm),Nombre común,Hábitat,Dominio,Referencia,Enlace
1,Bryozoa,Gymnolaemata ,Cheilostomatida ,Celleporidae ,NA,Celleporidae* ,,,,,NA,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
2,Echinodermata,Asteroidea,NA,NA,NA,Asteroidea*,,,,,NA,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
3,Bryozoa,Gymnolaemata ,Cheilostomatida ,Celleporidae ,Osthimosia,Osthimosia*,,,,,NA,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
4,Echinodermata,Echinoidea,Cidaroida,Cidaridae,NA,Cidaridae*,,,,,NA,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
5,Arthropoda,Crustacea,Decapoda,Malacostracea,Natantia,Natantia*,,,,,NA,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
6,Mollusca,Gastropoda,NA,NA,NA,Gastropoda*,,,,,NA,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
7,Bryozoa,Gymnolaemata,Cheilostomatida,Smittinidae,Smittina,Smittina*,,,,,NA,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
8,Echinodermata,Asteroidea,Velatida,Pterasteridae,Colyptraster,Colyptraster_tenuissimus,,,,,NA,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
9,Porifera,NA,NA,NA,NA,Porifera*,,,,,NA,Bentónico ,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
10,Echinodermata,Holothuroidea ,Dendrochirotida,Psolidae,Psolus,Psolus_patagonicus,,,,,Pepino de roca Patagónico,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
11,Echinodermata,Holothuroidea ,Dendrochirotida,NA,NA,Dendrochirotida*,,,,,Dendroquirótidos,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
12,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Gorgonaria,Gorgonaria*,,,,,Gorgonia,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
13,Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,NA,Alcyoniidae*,,,,,Alciónidos,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
14,Echinodermata,Ophiruidea,NA,NA,NA,Ophiruidea*,,,,,Ofiuras,Bentopelágico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
15,Echinodermata,Holothuroidea,Apodida,NA,NA,Apodida*,,,,,Apódidos,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
16,Mollusca,Bivalvia,Mytiloidea,Mytilidae,Mytilus,Mytilus_chilensis,,,,,Mejillón,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
17,Echinodermata,Crinoidea,NA,NA,NA,Crinoidea*,,,,,Lirios de mar,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
18,Chordata,Ascidiacea,Synascidian,NA,NA,Synascidian*,,,,,NA,Bentónico,CB,"Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",https://doi.org/10.3989/scimar.1999.63s1155
