ID,Presa,Grupo funcional presa,Depredador,Grupo funcional depredador,Estrategia,Fuente,Referencia,Enlace
1,Electrona_antartica,Myctophiformes,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
2,Electrona_carlsbergi,Myctophiformes,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
3,Gymnoscopelus_fraseri,Myctophiformes,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
4,Gymnoscopelus_hintonoides,Myctophiformes,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
5,Gymnoscopelus_nicholsi,Myctophiformes,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
6,Gymnoscopelus*,Myctophiformes,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
7,Krefftichthys_andersoni,Myctophiformes,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
8,Macrouridae,Gadiformes,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
9,Melanonus_gracilis,Gadiformes,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
10,Gonatus_antarcticus,Cephalopoda,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
11,Kondakovia _longimana,Cephalopoda,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
12,Batoteuthis_skolops,Cephalopoda,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
13,Histioteuthis,Cephalopoda,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
14,Alluroteuthis_antarcticus,Cephalopoda,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
15,Martialia_hyadesi,Cephalopoda,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
16,Mastigoteuthis_psychrophila,Cephalopoda,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
17,Galiteuthis_glacialis,Malacostraca,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
18,Taonius,Malacostraca,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
19,Gammaridea,Malacostraca,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
20,Themisto_gaudicahudii,Malacostraca,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
21,Anuropus_antarcticus,Malacostraca,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
22,Acanthephyra _pelagica,Malacostraca,Thalassarche_chrysostoma,Procellariiformes,Cazador,Heterótrofo,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
23,Acanthephyra ,Malacostraca,Grampus_griseus,Delphinidae,,Heterótrofo,"Arata, J., Robertson, G., Valencia, J., Xavier, J. C., & Moreno, C. A. (2004). Diet of grey-headed albatrosses at the Diego Ramírez Islands, Chile: ecological implications. Antarctic Science, 16(3), 263-275.",https://doi.org/10.1017/S095410200400207X
24,Pasiphaea_longispina,Malacostraca,Grampus_griseus,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
25,Euphausia_superba,Malacostraca,Grampus_griseus,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
26,Gnathophausiidae,Malacostraca,Grampus_griseus,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
27,Micromesistius_australis,Gadiformes ,Grampus_griseus,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
28,Sprattus_fuegensis,Clupeiformes ,Grampus_griseus,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
29,Myctophidae* ,Myctophiformes ,Grampus_griseus,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
30,Merluccius_hubbsi,Gadiformes ,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
31,Merluccius_australis,Gadiformes ,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
32,Salilota_australis,Gadiformes ,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
33,Macruronus_magellanicus,Gadiformes ,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
34,Cottoperca_gobio,Perciformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
35,Coelorinchus_fasciatus,Gadiformes ,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
36,Iluocoetes_fimbriatus,Perciformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
37,Cottunculus_granulosus,Perciformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
38,Dissostichus_eleginoides,Perciformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
39,Genypterus_blacodes,Ophidiiformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
40,Nototeniidae*,Perciformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
41,Micromesistius_australis,Gadiformes ,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
42,Patagonotothen_ramsayi,Perciformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
43,Pseudocythus_maculatus,Zeiformes ,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
44,Myctophidae* ,Myctophiformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
45,Bathyraja_macloviana,Elasmobranchii,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
46,Eleginops_maclovinus,Perciformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
47,Zoarcidae*,Perciformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
48,Patagonotothen* ,Perciformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
49,Patagonotothen_sima,Perciformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
50,Patagonotothen_tessellata,Perciformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
51,Odonthestes*,Atheriniformes,Lagenorhynchus_cruciger,Delphinidae,,Heterótrofo,"Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",https://doi.org/10.3354/meps08826
