"ID","Filum","Clase","Orden","Familia","Género","Especie trófica","Nombre común","Hábitat","Dominio","Referencia",""
"1","Bryozoa","Gymnolaemata ","Cheilostomatida ","Celleporidae ","N/A","Celleporidae ","N/A","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"2","Echinodermata","Asteroidea","N/A","N/A","N/A","Asteroidea*","N/A","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"3","Bryozoa","Gymnolaemata ","Cheilostomatida ","Celleporidae ","Osthimosia","Osthimosia","N/A","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"4","Echinodermata","Echinoidea","Cidaroida","Cidaridae","N/A","Cidaridae","N/A","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"5","Arthropoda","Crustacea","Decapoda","Malacostracea","Natantia","Natantia","N/A","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"6","Mollusca","Gastropoda","N/A","N/A","N/A","Gastropoda*","N/A","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"7","Bryozoa","Gymnolaemata","Cheilostomatida","Smittinidae","Smittina","Smittina","N/A","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"8","Echinodermata","Asteroidea","Velatida","Pterasteridae","Colyptraster","Colyptraster_tenuissimus","","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"9","Porifera","N/A","N/A","N/A","N/A","Porifera*","N/A","Bentónico ","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"10","Echinodermata","Holothuroidea ","Dendrochirotida","Psolidae","Psolus","Psolus_patagonicus","Pepino de roca Patagónico","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"11","Echinodermata","Holothuroidea ","Dendrochirotida","N/A","N/A","Dendrochirotida*","Dendroquirótidos","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"12","Cnidaria","Anthozoa","Alcyonacea","Gorgoniidae","Gorgonaria","Gorgonaria","Gorgonia","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"13","Cnidaria","Anthozoa","Alcyonacea","Alcyoniidae","N/A","Alcyoniidae","Alciónidos","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"14","Echinodermata","Ophiruidea","N/A","N/A","N/A","Ophiruidea*","Ofiuras","Bentopelágico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"15","Echinodermata","Holothuroidea","Apodida","N/A","N/A","Apodida","Apódidos","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"16","Mollusca","Bivalvia","Mytiloidea","Mytilidae","Mytilus","Mytilus_chilensis","Mejillón","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"17","Echinodermata","Crinoidea","N/A","N/A","N/A","Crinoidea*","Lirios de mar","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"18","Chordata","Ascidiacea","Synascidian","N/A","N/A","Synascidian","N/A","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"19","Chordata","Ascidiacea","N/A","N/A","N/A","Ascidiacea*","N/A","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
"20","Mollusca","Polyplacophora","N/A","N/A","N/A","Polyplacophora*","Poliplacóforos","Bentónico","CB","Gutt, J., Helsen, E., Arntz, W., & Buschmann, A. (1999). Biodiversity and community structure of the mega-epibenthos in the Magellan area (South America). Scientia Marina, 63(S1), 155-170.",""
