"ID","Presa","Grupo funcional presa","Depredador","Grupo funcional depredador","Estrategia","Fuente","Referencia",""
"1","E. antartica","Actinopterygii","Thalassarche_chrysostoma","Ave","","Heterótrofo","",""
"2","E. carlsbergi","Actinopterygii","Thalassarche_chrysostoma","Ave","","Heterótrofo","",""
"3","G. fraseri","Actinopterygii","Thalassarche_chrysostoma","Ave","","","",""
"4","G. hintonoides","Actinopterygii","Thalassarche_chrysostoma","Ave","","","",""
"5","G. nicholsi","Actinopterygii","Thalassarche_chrysostoma","Ave","","","",""
"6","Gymnoscopelus sp.","Actinopterygii","Thalassarche_chrysostoma","Ave","","","",""
"7","K. andersoni","Actinopterygii","Thalassarche_chrysostoma","Ave","","","",""
"8","M. gracilis","Actinopterygii","Thalassarche_chrysostoma","Ave","","","",""
"9","G. antarcticus","Cephalopoda","Thalassarche_chrysostoma","Ave","","","",""
"10","K. longimana","Cephalopoda","Thalassarche_chrysostoma","Ave","","","",""
"11","B. skolops","Cephalopoda","Thalassarche_chrysostoma","Ave","","","",""
"12","Histioteuthis","Cephalopoda","Thalassarche_chrysostoma","Ave","","","",""
"13","A. antarcticus","Cephalopoda","Thalassarche_chrysostoma","Ave","","","",""
"14","M. hyadesi","Cephalopoda","Thalassarche_chrysostoma","Ave","","","",""
"15","M psychrophila","Cephalopoda","Thalassarche_chrysostoma","Ave","","","",""
"16","G. glacialis","Cephalopoda","Thalassarche_chrysostoma","Ave","","","",""
"17","T. gaudicahudii","Malacostraca","Thalassarche_chrysostoma","Ave","","","",""
"18","A. antarcticus","Malacostraca","Thalassarche_chrysostoma","Ave","","","",""
"19","A. pelagica","Malacostraca","Thalassarche_chrysostoma","Ave","","","",""
"20","Acanthephyra sp","Malacostraca","Thalassarche_chrysostoma","Ave","","","",""
"21","P. longispina","Malacostraca","Thalassarche_chrysostoma","Ave","","","",""
"22","E. superba","Malacostraca","Thalassarche_chrysostoma","Ave","","","",""
"","Semirrosia_tenera","","Grampus_griseus","","","Heterótrofo","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"","Moroteuthis_ingens","","Grampus_griseus","","","Heterótrofo","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"","Loligo_gahi","","Grampus_griseus","","","Heterótrofo","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"","Illex_argentinus","","Grampus_griseus","","","Heterótrofo","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"","Micromesistius_australis","","Grampus_griseus","","","Heterótrofo","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"","Sprattus_fuegensis","","Grampus_griseus","","","Heterótrofo","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"","Myctophids","","Grampus_griseus","","","Heterótrofo","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"","Merluccius_hubbsi","","Lagenorhynchus_cruciger","","","Heterótrofo","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"","Merluccius_australis","","Lagenorhynchus_cruciger","","","Heterótrofo","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"","Salilota_australis","","Lagenorhynchus_cruciger","","","Heterótrofo","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
"","Macruronus_magellanicus","","Lagenorhynchus_cruciger","","","Heterótrofo","Riccialdelli, L., Newsome, S. D., Fogel, M. L., & Goodall, R. N. P. (2010). Isotopic assessment of prey and habitat preferences of a cetacean community in the southwestern South Atlantic Ocean. Marine Ecology Progress Series, 418, 235-248.",""
