"resource","consumer"
"Acantharea","Acanthephyra pelagica"
"Acantharea","Euchirella rostromagna"
"Acantharea","Euphausia frigida"
"Acantharea","Euphausia superba"
"Acantharea","Euphausia triacantha"
"Acantharea","Euphausia vallentini"
"Acantharea","Gaetanus tenuispinus"
"Acantharea","Gennadas kempi"
"Acantharea","Lucicutia"
"Acantharea","Metridia gerlachei"
"Acantharea","Metridia lucens"
"Acantharea","Nematocarcinus lanceopes"
"Acantharea","Neognathophausia gigas"
"Acantharea","Pasiphaea scotiae"
"Acantharea","Petalidium foliaceum"
"Acantharea","Pleuromamma abdominalis"
"Acantharea","Pleuromamma antarctica"
"Acantharea","Pleuromamma robusta"
"Acantharea","Pseudoamallothrix cenotelis"
"Acantharea","Salpa thompsoni"
"Acantharea","Scaphocalanus australis"
"Acantharea","Scaphocalanus farrani"
"Acantharea","Sergestes"
"Acantharea","Spinocalanus abyssalis"
"Acantharea","Thysanoessa macrura"
"Acantharea","Thysanoessa vicina"
"Acanthephyra pelagica","Calycopsis borchgrevinki"
"Acanthephyra pelagica","Dimophyes arctica"
"Acanthephyra pelagica","Diphyes antarctica"
"Acanthephyra pelagica","Electrona antarctica"
"Acanthephyra pelagica","Eudoxoides spiralis"
"Acanthephyra pelagica","Gigantocypris muelleri"
"Acanthephyra pelagica","Gilia reticulata"
"Acanthephyra pelagica","Gymnoscopelus bolini"
"Acanthephyra pelagica","Gymnoscopelus braueri"
"Acanthephyra pelagica","Gymnoscopelus fraseri"
"Acanthephyra pelagica","Gymnoscopelus hintonoides"
"Acanthephyra pelagica","Gymnoscopelus piabilis"
"Acanthephyra pelagica","Marrus antarcticus"
"Acanthephyra pelagica","Muggiaea bargmannae"
"Acanthephyra pelagica","Nannobrachium achirus"
"Acanthephyra pelagica","Onykia ingens"
"Acanthephyra pelagica","Pandea rubra"
"Acanthephyra pelagica","Pleurobrachia"
"Acanthephyra pelagica","Poromitra crassiceps"
"Acanthephyra pelagica","Symbolophorus boops"
"Aetideus","Alacia hettacra"
"Aetideus","Atolla wyvillei"
"Aetideus","Austrinoecia isocheira"
"Aetideus","Bathyteuthis abyssicola"
"Aetideus","Batoteuthis skolops"
"Aetideus","Beroe"
"Aetideus","Borostomias antarcticus"
"Aetideus","Brachioteuthis linkovskyi"
"Aetideus","Brachioteuthis picta"
"Aetideus","Calanus australis"
"Aetideus","Callianira"
"Aetideus","Calycopsis borchgrevinki"
"Aetideus","Candacia"
