"resource","consumer"
"Acantharea","Acanthephyra pelagica"
"Acantharea","Euchirella rostromagna"
"Acantharea","Euphausia frigida"
"Acantharea","Euphausia superba"
"Acantharea","Euphausia triacantha"
"Acantharea","Gaetanus tenuispinus"
"Acantharea","Gennadas kempi"
"Acantharea","Lucicutia"
"Acantharea","Metridia gerlachei"
"Acantharea","Metridia lucens"
"Acantharea","Nematocarcinus lanceopes"
"Acantharea","Neognathophausia gigas"
"Acantharea","Pasiphaea scotiae"
"Acantharea","Petalidium foliaceum"
"Acantharea","Pleuromamma abdominalis"
"Acantharea","Pleuromamma antarctica"
"Acantharea","Pleuromamma robusta"
"Acantharea","Pseudoamallothrix cenotelis"
"Acantharea","Salpa thompsoni"
"Acantharea","Scaphocalanus australis"
"Acantharea","Scaphocalanus farrani"
"Acantharea","Sergestes"
"Acantharea","Spinocalanus abyssalis"
"Acantharea","Thysanoessa macrura"
"Acantharea","Thysanoessa vicina"
"Acanthephyra pelagica","Calycopsis borchgrevinki"
"Acanthephyra pelagica","Dimophyes arctica"
"Acanthephyra pelagica","Diphyes antarctica"
"Acanthephyra pelagica","Electrona antarctica"
"Acanthephyra pelagica","Eudoxoides spiralis"
"Acanthephyra pelagica","Gigantocypris muelleri"
"Acanthephyra pelagica","Gilia reticulata"
"Acanthephyra pelagica","Gymnoscopelus bolini"
"Acanthephyra pelagica","Gymnoscopelus braueri"
"Acanthephyra pelagica","Marrus antarcticus"
"Acanthephyra pelagica","Muggiaea bargmannae"
"Acanthephyra pelagica","Nannobrachium achirus"
"Acanthephyra pelagica","Pandea rubra"
"Acanthephyra pelagica","Pleurobrachia"
"Aetideus","Alacia hettacra"
"Aetideus","Atolla wyvillei"
"Aetideus","Austrinoecia isocheira"
"Aetideus","Bathyteuthis abyssicola"
"Aetideus","Batoteuthis skolops"
"Aetideus","Beroe"
"Aetideus","Borostomias antarcticus"
"Aetideus","Brachioteuthis picta"
"Aetideus","Callianira"
"Aetideus","Calycopsis borchgrevinki"
"Aetideus","Candacia"
"Aetideus","Corycaeus"
"Aetideus","Crossota brunnea"
"Aetideus","Cyclothone"
"Aetideus","Cyphocaris faurei"
"Aetideus","Cyphocaris richardi"
"Aetideus","Dimophyes arctica"
"Aetideus","Diphyes antarctica"
"Aetideus","Electrona antarctica"
"Aetideus","Euchirella rostromagna"
"Aetideus","Eudoxoides spiralis"
"Aetideus","Eukrohnia hamata"
"Aetideus","Euphausia frigida"
