ID;Trophic species;Taxonomy;Group;Representatives;;;;;;
1;Electrona_spp;Order;Fish;"Electrona_antartica; Electrona_carlsbergi";;;;;;
2;Gymnoscopelus_spp;Order;Fish;"Gymnoscopelus_fraseri; Gymnoscopelus_hintonoides; Gymnoscopelus_nicholsi";;;;;;
3;Krefftichthys_andersoni;Specie;Fish;NA;;;;;;
4;Amphipoda;Order;Crustacean;"Gammaridea; Gondogeneia_antarctica; Bircenna; Jassa; Oradare";;;;;;
5;Anuropus_antarcticus;Specie;Crustacean;;;;;;;
6;Decapoda_others;Specie;Crustacean;"Peltarion_spinosulum; Pleoticus_muelleri; Acanthephyra _pelagica; Lithodes_santolla";;;;;;
7;Patagonotothen_ramsayi;Specie;Fish;;;;;;;
8;Patagonotothen_guntheri;Specie;Fish;;;;;;;
9;Nototheniops_larseni ;Specie;Fish;;;;;;;
10;Pleuragramma_antarcticum;Specie;Fish;;;;;;;
11;Iluocoetes_fimbriatus;Specie;Fish;;;;;;;
12;Odonthestes_spp;Gender;Fish;;;;;;;
13;Merluccius_hubbsi;Specie;Fish;;;;;;;
14;Merluccius_australis;Specie;Fish;;;;;;;
15;Salilota_australis;Specie;Fish;;;;;;;
16;Macruronus_magellanicus;Specie;Fish;;;;;;;
17;Cottoperca_trigloides;Specie;Fish;;;;;;;
18;Coelorinchus_fasciatus;Specie;Fish;;;;;;;
19;Cottunculus_granulosus;Specie;Fish;;;;;;;
20;Dissostichus_eleginoides;Specie;Fish;;;;;;;
21;Ophidiidae;Family;Fish;;;;;;;
22;Micromesistius_australis;Specie;Fish;;;;;;;
23;Bathyraja_macloviana;Specie;Chondrichthyan;;;;;;;
24;Sprattus_fuegensis;Specie;Fish;;;;;;;
25;Doryteuthis_gahi;Specie;Cephalopoda;;;;;;;
26;Illex_argentinus;Specie;Cephalopoda;;;;;;;
27;Enteroctopus_megalocyathus;Specie;Cephalopoda;;;;;;;
28;Mirounga_leonina;Specie;Mammal;;;;;;;
29;Larvae_Fish;;Fish;;;;;;;
30;Euphausiidae;Family;Cephalopoda;"Thysanoessa_macrura; Euphausia_superba; Euphausia_lucens";;;;;;
31;Zooplankton;;Zooplankton;;;;;;;
32;Grimothea_gregaria;Specie;Cephalopoda;;;;;;;
33;Gonatus_antarcticus;Specie;Cephalopoda;;;;;;;
34;Lepidonotothen;Gender;Fish;;;;;;;
35;Pseudochaenichthys_georgianus;Specie;Fish;;;;;;;
36;Calanoida;Order;Zooplankton;;;;;;;
37;Macrourus_holotrachys;Specie;Fish;;;;;;;
38;Bathyraja_brachyurops;Specie;Chondrichthyan;;;;;;;
39;Detritus;;Detritus;;;;;;;
40;Copepoda_others;Class;Zooplankton;Metridia;;;;;;
41;Isopoda_others;Order;Isopods;"Gnathia; Munnidae; Plakarthrium_sp; Limnoria_sp; Cymodocella";;;;;;
42;Harpagiferidae_sp;Family;Fish;;;;;;;
43;Lamna_nasus;Specie;Chondrichthyan;;;;;;;
44;Myxine_spp;Gender;Fish_demersal;;;;;;;
