ID,Presa,Grupo funcional presa,Expertise presa,Depredador,Grupo funcional depredador,Expertise depredador,Estrategia,Fuente,Referencia,Enlace,Observaciones
1,Electrona_spp,Myctophiformes,Peces,Thalassarche_chrysostoma,Procellariiformes,Aves marinas,Cazador,Heterótrofo,"Arata, J. et al_2004",https://doi.org/10.1017/S095410200400207X,Infered from Electrona_antartica
2,Electrona_spp,Myctophiformes,Peces,Thalassarche_chrysostoma,Procellariiformes,Aves marinas,Cazador,Heterótrofo,"Arata, J. et al_2004",https://doi.org/10.1017/S095410200400207X,Infered from Electrona_carlsbergi
3,Gymnoscopelus_sp,Myctophiformes,Peces,Thalassarche_chrysostoma,Procellariiformes,Aves marinas,Cazador,Heterótrofo,"Arata, J. et al_2004",https://doi.org/10.1017/S095410200400207X,Infered from Gymnoscopelus_hintonoides
4,Gymnoscopelus_sp,Myctophiformes,Peces,Thalassarche_chrysostoma,Procellariiformes,Aves marinas,Cazador,Heterótrofo,"Arata, J. et al_2004",https://doi.org/10.1017/S095410200400207X,
5,Gymnoscopelus_sp,Myctophiformes,Peces,Thalassarche_chrysostoma,Procellariiformes,Aves marinas,Cazador,Heterótrofo,"Arata, J. et al_2004",https://doi.org/10.1017/S095410200400207X,Infered from Gymnoscopelus_nicholsi
6,Myctophidae_spp,Myctophiformes,Peces,Thalassarche_chrysostoma,Procellariiformes,Aves marinas,Cazador,Heterótrofo,"Arata, J. et al_2004",https://doi.org/10.1017/S095410200400207X,Infered from Krefftichthys_andersoni
7,Macrouridae,Gadiformes,Peces,Thalassarche_chrysostoma,Procellariiformes,Aves marinas,Cazador,Heterótrofo,"Arata, J. et al_2004",https://doi.org/10.1017/S095410200400207X,
8,Melanonidae,Gadiformes,Peces,Thalassarche_chrysostoma,Procellariiformes,Aves marinas,Cazador,Heterótrofo,"Arata, J. et al_2004",https://doi.org/10.1017/S095410200400207X,Infered from Melanonus_gracilis
9,Gonatidae,Cephalopoda,Cefalopodos,Thalassarche_chrysostoma,Procellariiformes,Aves marinas,Cazador,Heterótrofo,"Arata, J. et al_2004",https://doi.org/10.1017/S095410200400207X,
10,Cephalopoda_otros,Cephalopoda,Cefalopodos,Thalassarche_chrysostoma,Procellariiformes,Aves marinas,Cazador,Heterótrofo,"Arata, J. et al_2004",https://doi.org/10.1017/S095410200400207X,
