ID,Prey,Prey funtional group,Prey expertise,Predator,Predator funtional group,Predator expertise,Strategy,Source,Reference,Link,Observations
1,Electrona_spp,Myctophiformes,Fish,Thalassarche_chrysostoma,Procellariiformes,Sea birds,Hunter,Heterotroph,"Arata, J. et al_2004",https://doi.org/10.1017/S095410200400207X,Inferred from Electrona_antartica and Electrona_carlsbergi
2,Electrona_spp,Myctophiformes,Fish,Thalassarche_chrysostoma,Procellariiformes,Sea birds,Hunter,Heterotroph,"Arata, J. et al_2004",https://doi.org/10.1017/S095410200400207X,Inferred from Electrona_antartica and Electrona_carlsbergi
3,Gymnoscopelus_spp,Myctophiformes,Fish,Thalassarche_chrysostoma,Procellariiformes,Sea birds,Hunter,Heterotroph,"Arata, J. et al_2004",https://doi.org/10.1017/S095410200400207X,Inferred from Gymnoscopelus_nicholsi and Gymnoscopelus_hintonoides
4,Gymnoscopelus_spp,Myctophiformes,Fish,Thalassarche_chrysostoma,Procellariiformes,Sea birds,Hunter,Heterotroph,"Arata, J. et al_2004",https://doi.org/10.1017/S095410200400207X,Inferred from Gymnoscopelus_nicholsi and Gymnoscopelus_hintonoides
5,Gymnoscopelus_spp,Myctophiformes,Fish,Thalassarche_chrysostoma,Procellariiformes,Sea birds,Hunter,Heterotroph,"Arata, J. et al_2004",https://doi.org/10.1017/S095410200400207X,Inferred from Gymnoscopelus_nicholsi and Gymnoscopelus_hintonoides
6,Krefftichthys_andersoni,Myctophiformes,Fish,Thalassarche_chrysostoma,Procellariiformes,Sea birds,Hunter,Heterotroph,"Arata, J. et al_2004",https://doi.org/10.1017/S095410200400207X,
7,Amphipoda,Amphipoda,Crustaceans,Thalassarche_chrysostoma,Procellariiformes,Sea birds,Hunter,Heterotroph,"Arata, J. et al_2004",https://doi.org/10.1017/S095410200400207X,Inferred from Gammaridea
8,Anuropus_antarcticus,Malacostraca,Crustaceans,Thalassarche_chrysostoma,Procellariiformes,Sea birds,Hunter,Heterotroph,"Arata, J. et al_2004",https://doi.org/10.1017/S095410200400207X,
9,Decapoda_others,Decapoda,Crustaceans,Thalassarche_chrysostoma,Procellariiformes,Sea birds,Hunter,Heterotroph,"Arata, J. et al_2004",https://doi.org/10.1017/S095410200400207X,
10,Patagonotothen_ramsayi,Perciformes,Fish,Lagenorhynchus_australis,Delphinidae,Sea mammals,Hunter,Heterotroph,Riccialdelli_etal_2010,https://doi.org/10.3354/meps08826,Inferred from Patagonotothen_spp
