"","ID","Filum","Clase","Orden","Familia","Género","Especie.trófica","Nombre.común","Hábitat","Dominio","Expertise","Referencia","Enlace","X","X.1"
"1",2,"Echinodermata","Asteroidea",NA,NA,NA,"Asteroidea*",NA,"Bentónico","CB","Asteroideos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,"Asteroideos"
"2",8,"Echinodermata","Asteroidea","Velatida","Pterasteridae","Colyptraster","Colyptraster_tenuissimus",NA,"Bentónico","CB","Asteroideos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"3",34,"Echinodermata","Asteroidea","Forcipulatida","Stichasteridae","Cosmasterias","Cosmasterias_lurida","Estrella vioeta","Bentónico","CB","Asteroideos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"4",65,"Echinodermata","Asteroidea","Valvatida","Solasteridae","Solaster","Solaster_regularis","Estrella de sol","Bentónico","","Asteroideos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"5",71,"Echinodermata","Asteroidea","Valvatida","Solasteridae","Lophaster","Lophaster*",NA,NA,"","Asteroideos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"6",76,"Echinodermata","Asteroidea","Forcipulatida ","Heliasteridae","Labidiaster","Labidiaster_radiosus","Estrella de rayos pegajosos",NA,"","Asteroideos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"7",77,"Echinodermata","Asteroidea","Valvatida ","Poraniidae","Porania","Porania_antartica",NA,"Bentónico","","Asteroideos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"8",79,"Echinodermata","Asteroidea","Valvatida","Asterinidae ","Ganeria","Ganeria*",NA,NA,"","Asteroideos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"9",80,"Echinodermata","Asteroidea","Valvatida","Odontasteridae","Asterodon","Asterodon*",NA,NA,"","Asteroideos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"10",82,"Echinodermata","Asteroidea","Paxillosida ","Astropectinidae","Bathybiaster","Bathybiaster_loripes",NA,"Bentónico","","Asteroideos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"11",102,"Echinodermata","Asteroidea","Valvatida","Asterinidae ","Cycethra","Cycethra_verrucosa",NA,NA,"","Asteroideos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"12",103,"Echinodermata","Asteroidea","Valvatida","Asterinidae ","Ganeria","Ganeria_falklandica",NA,"Bentónico","","Asteroideos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"13",104,"Echinodermata","Asteroidea","Valvatida","Goniasteridae","Ceramaster","Ceramaster*",NA,NA,"","Asteroideos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"14",105,"Echinodermata","Asteroidea","Valvatida","Odontasteridae","Odontaster","Odontaster*",NA,NA,"","Asteroideos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
