"","ID","Filum","Clase","Orden","Familia","Género","Especie.trófica","Nombre.común","Hábitat","Dominio","Expertise","Referencia","Enlace","X","X.1"
"1",155,"Chordata","Aves","Procellariiformes","Diomedeidae","Thalassarche","Thalassarche_chrysostoma","","","","Aves marinas",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"2",239,"Chordata","Aves","Procellariiformes ","Diomedeidae ","Thalassarche","Thalassarche_melanophris","","","","Aves marinas",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"3",242,"Chordata","Aves","Sphenisciformes","Spheniscidae ","Eudyptes ","Eudyptes_chrysocome_chrysocome","","","CCH","Aves marinas",11,"https://doi.org/10.3354/meps11689",NA,""
"4",243,"Chordata","Aves","Sphenisciformes","Spheniscidae ","Spheniscus","Spheniscus_magellanicus_female","Pinguino Magallánico","Pelágico","CCH, CB","Aves marinas",11,"https://doi.org/10.3354/meps11689",NA,""
"5",244,"Chordata","Aves","Sphenisciformes","Spheniscidae ","Spheniscus","Spheniscus_magellanicus_male","Pinguino Magallánico","Pelágico","CCH, CB","Aves marinas",11,"https://doi.org/10.3354/meps11689",NA,""
"6",246,"Chordata","Aves","Pelecaniformes","Phalacrocoracidae ","Phalacrocorax ","Phalacrocorax* ","","","","Aves marinas",11,"https://doi.org/10.3354/meps11689",NA,""
"7",247,"Chordata","Aves","Procellariiformes",NA,NA,"Procellariiformes*","","","","Aves marinas",11,"https://doi.org/10.3354/meps11689",NA,""
"8",248,"Chordata","Aves","Procellariiformes","Procellariidae",NA,"Procellariidae*","","","","Aves marinas",11,"https://doi.org/10.3354/meps11689",NA,""
"9",305,"Chordata","Aves","Sphenisciformes","Spheniscidae ","Spheniscus","Spheniscus_magellanicus","Pinguino Magallánico","Pelágico","CCH, CB","Aves marinas",16,"https://doi.org/10.1111/ibi.12547",NA,""
"10",306,"Chordata","Aves","Sphenisciformes","Spheniscidae ","Pygoscelis","Pygoscelis_adeliae","Pinguino Adelia","Pelágico","CCH, CB","Aves marinas",16,"https://doi.org/10.1111/ibi.12547",NA,""
"11",434,"Chordata","Aves","Charadriiformes","Laridae","Larus","Larus_dominicanus","Gaviota Cocinera","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"12",435,"Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna_hirundinacea","Gaviotín sudamericano","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"13",436,"Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius_antarcticus","Escúa Parda","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"14",437,"Chordata","Aves","Charadriiformes","Stercorariidae","Stercorarius","Stercorarius_chilensis","Escúa Común","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"15",438,"Chordata","Aves","Procellariiformes","Diomedeidae","Diomedea","Diomedea_epomophora","Albatros real","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"16",439,"Chordata","Aves","Procellariiformes","Diomedeidae","Diomedea","Diomedea_exulans","Albatros errante","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"17",440,"Chordata","Aves","Procellariiformes","Diomedeidae","Diomedea","Diomedea_sanfordi","Albatros real del norte","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"18",441,"Chordata","Aves","Procellariiformes","Diomedeidae","Phoebetria","Phoebetria_fusca","Albatros oscuro","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"19",442,"Chordata","Aves","Procellariiformes","Diomedeidae","Phoebetria","Phoebetria_palpebrata","Albatros manto claro","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"20",443,"Chordata","Aves","Procellariiformes","Diomedeidae","Thalassarche","Thalassarche_Bulleri","","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"21",444,"Chordata","Aves","Procellariiformes","Diomedeidae","Thalassarche","Thalassarche_chlororhynchos","Albatros de nariz amarilla","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"22",445,"Chordata","Aves","Procellariiformes","Diomedeidae","Thalassarche","Thalassarche_chrysostoma","Albatros de cabeza gris","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"23",446,"Chordata","Aves","Procellariiformes","Diomedeidae","Thalassarche","Thalassarche_melanophris","Albatros de ceja negra","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"24",447,"Chordata","Aves","Procellariiformes","Diomedeidae","Thalassarche","Thalassarche_salvini","Albatros de Salvin","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"25",448,"Chordata","Aves","Procellariiformes","Hydrobatidae","Fregetta","Fregetta_tropica","Petrel Vientre Negro","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"26",449,"Chordata","Aves","Procellariiformes","Hydrobatidae","Oceanites","Oceanites_gracilis","Petrel de Elliot","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"27",450,"Chordata","Aves","Procellariiformes","Hydrobatidae","Oceanites","Oceanites_oceanicus","Petrel común","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"28",451,"Chordata","Aves","Procellariiformes","Pelecanoididae","Pelecanoides","Pelecanoides_urinatrix","Yunco Común,","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"29",452,"Chordata","Aves","Procellariiformes","Procellariidae","Ardenna","Ardenna_creatopus","Pardela patirrosa","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"30",453,"Chordata","Aves","Procellariiformes","Procellariidae","Ardenna","Ardenna_gravis","Pardela cabeza negra","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"31",454,"Chordata","Aves","Procellariiformes","Procellariidae","Ardenna","Ardenna_grisea","Pardela oscura","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"32",455,"Chordata","Aves","Procellariiformes","Procellariidae","Daption","Daption_capense","Petrel pintado","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"33",456,"Chordata","Aves","Procellariiformes","Procellariidae","Fulmarus","Fulmarus_glacialoides","Petrel Plateado","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"34",457,"Chordata","Aves","Procellariiformes","Procellariidae","Halobaena","Halobaena_caerulea","Petrel Azulado","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"35",458,"Chordata","Aves","Procellariiformes","Procellariidae","Macronectes","Macronectes_giganteus","Petrel Gigante Común","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"36",459,"Chordata","Aves","Procellariiformes","Procellariidae","Macronectes","Macronectes_halli","Petrel Gigante Oscuro","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"37",460,"Chordata","Aves","Procellariiformes","Procellariidae","Pachyptila","Pachyptila_belcheri","Petrel paloma de pico delgado","Pelágico","","Aves marinas",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
