"","ID","Filum","Clase","Orden","Familia","Género","Especie.trófica","Nombre.común","Hábitat","Dominio","Expertise","Referencia","Enlace","X","X.1"
"1",30,"Arthropoda","Malacostraca","Decapoda","Munididae","Munida","Munida_subrugosa","Langosta","Bentónico","CB","Crustaceos peracaridos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"2",32,"Arthropoda","Malacostraca","Decapoda","Atelecyclidae","Peltarion","Peltarion_spinosulum","Cangrejo peludo","Bentónico","CB","Crustaceos peracaridos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"3",41,"Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus_gaudichaudii","Cangrejo ermitaño","Bentónico","CB","Crustaceos peracaridos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"4",42,"Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus_comptus","Cangrejo eritaño patagónico","Bentónico","CB","Crustaceos peracaridos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"5",51,"Arthropoda","Malacostraca","Brachyura",NA,NA,"Brachyura*",NA,NA,"","Crustaceos peracaridos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"6",53,"Arthropoda","Malacostraca","Decapoda","Inachidae","Eurypodius","Eurypodius_latreilli","Cangrejo","Bentónico","","Crustaceos peracaridos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"7",81,"Arthropoda","Malacostraca ","Decapoda","Campylonotidae","Campylonotus","Campylonotus_vagans","Camarón pintado","Bentónico","","Crustaceos peracaridos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"8",101,"Arthropoda","Malacostraca","Decapoda ","Lithodidae","Paralomis","Paralomis_granulosa","Centollón patagónico","Bentónico","","Crustaceos peracaridos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"9",147,"Arthropoda","Malacostraca","Gammaridea",NA,NA,"Gammaridea*","","","","Crustaceos peracaridos",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"10",148,"Arthropoda","Malacostraca","Amphipoda","Hyperiidae","Themisto","Themisto_gaudicahudii","","","","Crustaceos peracaridos",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"11",150,"Arthropoda","Malacostraca","Decapoda","Acanthephyridae","Acanthephyra ","Acanthephyra _pelagica","","","","Crustaceos peracaridos",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"12",151,"Arthropoda","Malacostraca","Decapoda","Acanthephyridae","Acanthephyra ","Acanthephyra* ","","","","Crustaceos peracaridos",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"13",152,"Arthropoda","Malacostraca","Decapoda","Pasiphaeidae","Pasiphaea","Pasiphaea_longispina","","","","Crustaceos peracaridos",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"14",153,"Arthropoda","Malacostraca","Euphausiacea","Euphausiacea","Euphausia","Euphausia_superba","Krill","Planctónico","CCA, CCH","Crustaceos peracaridos",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"15",154,"Arthropoda","Malacostraca","Mysidacea","Gnathophausiidae",NA,"Gnathophausiidae*","","","","Crustaceos peracaridos",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"16",203,"Arthropoda","Malacostraca","Decapoda","Campylonotidae ","Campylognathus","Campylognathus_vagans","","","","Crustaceos peracaridos",8,"https://doi.org/10.3354/meps08826",NA,""
"17",204,"Arthropoda","Malacostraca","Decapoda","Munididae","Munida","Munida_gregaria","Langosta gregaria","Bentopelágico","","Crustaceos peracaridos",8,"https://doi.org/10.3354/meps08826",NA,""
"18",205,"Arthropoda","Malacostraca","Euphausiacea ","Euphausiidae ","Euphausia","Euphausia_lucens","","","","Crustaceos peracaridos",8,"https://doi.org/10.3354/meps08826",NA,""
"19",207,"Arthropoda","Malacostraca","Amphipoda","Hyperiidae ","Themisto","Themisto_gaudichaudii","","","","Crustaceos peracaridos",8,"https://doi.org/10.3354/meps08826",NA,""
"20",252,"Arthropoda","Malacostraca","Amphipoda","Hyperiidae ","Themisto","Themisto_gaudichaudii","","","","Crustaceos peracaridos",11,"https://doi.org/10.3354/meps11689",NA,""
"21",253,"Arthropoda","Malacostraca","Euphausiacea",NA,NA,"Euphausiacea*","","","","Crustaceos peracaridos",11,"https://doi.org/10.3354/meps11689",NA,""
"22",254,"Arthropoda","Malacostraca","Amphipoda ",NA,NA,"Amphipoda* ","","","","Crustaceos peracaridos",11,"https://doi.org/10.3354/meps11689",NA,""
"23",259,"Arthropoda","Malacostraca","Decapoda","Munididae","Munida","Munida_gregaria","Langosta gregaria","Bentopelágico","","Crustaceos peracaridos",11,"https://doi.org/10.3354/meps11689",NA,""
"24",279,"Arthropoda","Malacostraca","Euphausiacea","Euphausiidae ","Euphausia","Euphausia_lucens","","","","Crustaceos peracaridos",13,"https://doi.org/10.3354/meps12296",NA,""
"25",280,"Arthropoda","Malacostraca","Euphausiacea ","Euphausiidae ","Euphausia","Euphausia_superba","Krill","Planctónico","CCA, CCH","Crustaceos peracaridos",13,"https://doi.org/10.3354/meps12296",NA,""
"26",302,"Arthropoda","Malacostraca","Decapoda","Munididae","Munida","Munida_gregaria","Langosta gregaria","Bentopelágico","CB","Crustaceos peracaridos",15,"https://doi.org/10.1007/s00300-018-2394-2",NA,""
"27",303,"Arthropoda","Malacostraca","Decapoda","Lithodidae ","Lithodes","Lithodes_santolla","Centolla patagónica","Bentónico","CCH, CB","Crustaceos peracaridos",15,"https://doi.org/10.1007/s00300-018-2394-2",NA,""
"28",304,"Arthropoda","Malacostraca","Decapoda","Lithodidae ","Paralomis","Paralomis_granulosa","Centollón patagónico","Bentónico","CCH, CB","Crustaceos peracaridos",15,"https://doi.org/10.1007/s00300-018-2394-2",NA,""
"29",324,"Arthropoda","Malacostraca","Decapoda","Lithodidae ","Lithodes","Lithodes_santolla","Centolla patagónica","Bentónico","CCH, CB","Crustaceos peracaridos",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"30",325,"Arthropoda","Malacostraca","Decapoda","Lithodidae ","Paralomis","Paralomis_granulosa","Centollón patagónico","Bentónico","CCH, CB","Crustaceos peracaridos",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"31",370,"Arthropoda ","Malacostraca","Euphausiacea",NA,NA,"Euphausiacea*","Krill","","","Crustaceos peracaridos",19,"https://doi.org/10.1007/s00300-019-02607-z",NA,""
"32",430,"Arthropoda","Malacostraca","Euphausiacea ","Euphausiidae ","Euphausia","Euphausia_superba","Krill","Planctónico","CCA, CCH","Crustaceos peracaridos",24,"https://doi.org/10.1007/s00300-022-03080-x",NA,""
"33",523,"Arthropoda","Malacostraca","Decapoda","Lithodidae ","Lithodes","Lithodes_santolla","Centolla patagónica","Bentónico","CCH, CB","Crustaceos peracaridos",26,"",NA,""
"34",524,"Arthropoda","Malacostraca","Euphausiacea ","Euphausiidae ","Euphausia","Euphausia*","","","","Crustaceos peracaridos",26,"",NA,""
"35",525,"Arthropoda","Malacostraca","Decapoda","Munididae","Munida","Munida_gregaria","Langosta gregaria","Bentopelágico","","Crustaceos peracaridos",26,"",NA,""
