"","ID","Filum","Clase","Orden","Familia","Género","Especie.trófica","Nombre.común","Hábitat","Dominio","Expertise","Referencia","Enlace","X","X.1"
"1",321,"Haptophyta ","Prymnesiophyceae ","Isochrysidales ","Noelaerhabdaceae","Emiliania","Emiliania_huxleyi","Cocolitofóridos","Pelágico","CB y CCH","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"2",322,"Myzozoa ","Dinophyceae","Dinophysiales ","Dinophysaceae ","Dinophysis","Dinophysis_acuminata","Mixozoos","Pelágico","CB y CCH","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"3",323,"Cyanobacteria ","Cyanophyceae ","Synechococcales ","Synechococcaceae","Synechococcus","Synechococcus*","Picofitoplancton","","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"4",328,"Ochrophyta ","Bacillariophyceae",NA,NA,NA,"Bacillariophyceae*","Diatomeas","","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"5",329,"Haptophyta ","Prymnesiophyceae ",NA,NA,NA,"Coccolithophorales* ","Cocolitofóridos","","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"6",330,"Bryozoa","Gymnolaemata","Cheilostomatida ","Escharinidae ","Mastigophora","Mastigophora*","Flagelados","","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"7",331,"Dinophyta",NA,NA,NA,NA,"Dinophyta*","Dinoflagelados","","CB","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"8",332,"Myzozoa","Dinophyceae","Dinophyceae","Amphidomataceae","Azadinium","Azadinium*","Dinoflagelados","","CB","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"9",333,"Myzozoa","Dinophyceae","Prorocentrales","Prorocentraceae","Prorocentrum","Prorocentrum*","Dinoflagelados","","CB","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"10",334,"Myzozoa","Dinophyceae","Gonyaulacales","Ostreopsidaceae","Alexandrium","Alexandrium*","Dinoflagelados","","CB","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"11",335,"Myzozoa","Dinophyceae","Gonyaulacales","Ceratiaceae","Ceratium","Ceratium*","Dinoflagelados","","CB","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"12",336,"Myzozoa","Dinophyceae","Peridiniales","Oxytoxaceae ","Oxytoxum","Oxytoxum*","Dinoflagelados","","CB","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"13",338,"Myzozoa","Dinophyceae","Peridiniales","Protoperidiniaceae","Protoperidinium","Protoperidinium*","","","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"14",339,"Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","Gyrodinium*","","","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"15",340,"Myzozoa","Dinophyceae","Amphidiniales","Amphidiniaceae","Amphidinium","Amphidinium*","","","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"16",341,"Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Torodinium","Torodinium_robustum","","","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"17",343,"Myzozoa ","Dinophyceae","Dinophysiales ","Dinophysaceae ","Dinophysis","Dinophysis*","","","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"18",348,"Ochrophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Shionodiscus","Shionodiscus_gaarderae","Diatomeas","","CCH","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"19",350,"Ciliophora","Oligotrichea","Oligotrichida","Tontoniidae","Laboea","Laboea_strobila","","","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"20",352,"Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia*","","","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"21",353,"Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudonitzschia","Pseudonitzschia*","","","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"22",354,"Myzozoa ","Dinophyceae","Dinophysiales ","Dinophysaceae ","Dinophysis","Dinophysis_acuminata","","","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"23",355,"Ochrophyta","Bacillariophyceae","Chaetocerotanae","Chaetocerotaceae","Chaetoceros","Chaetoceros*","Diatomeas","CB, CCH","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"24",356,"Ochrophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira ","Thalassiosira* ","Diatomeas","CB, CCH","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"25",357,"Ochrophyta","Bacillariophyceae","Rhizosoleniales","Rhizosoleniaceae","Dactyliosolen","Dactyliosolen*","","","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"26",358,"Ochrophyta","Bacillariophyceae","Rhizosoleniales","Rhizosoleniaceae","Guinardia","Guinardia*","","","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"27",359,"Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","Fragilariopsis _kerguelensis","","CB","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"28",360,"Ochrophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula*","","","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"29",361,"Ochrophyta","Bacillariophyceae","Paraliales","Paraliaceae","Paralia","Paralia_sulcata","","","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"30",362,"Haptophyta","rymnesiophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis","Phaeocystis*","","","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"31",363,"Haptophyta","rymnesiophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis","Phaeocystis_antactica","","","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"32",364,"Myzozoa ","Dinophyceae","Gonyaulacales","Ostreopsidaceae","Alexandrium","Alexandrium_catenella","Dinoflagelado","","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"33",366,"Myzozoa ","Dinophyceae","Dinophyceae","Amphidomataceae","Azadinium","Azadinium_poporum","","","","Fitoplancton",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
