"","ID","Filum","Clase","Orden","Familia","Género","Especie.trófica","Nombre.común","Hábitat","Dominio","Expertise","Referencia","Enlace","X","X.1"
"1",163,"Chordata","Actinopterygii","Perciformes","Nototheniidae","Dissostichus","Dissostichus_eleginoides","Merluza negra","Demersal","","Peces demersales",6,"http://dx.doi.org/10.4067/S0718-19572009000100006",NA,""
"2",174,"Chordata","Actinopteri ","Gadiformes ","Merlucciidae ","Merluccius","Merluccius_hubbsi","Merluza Argentina","Demersal","","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA,""
"3",175,"Chordata","Actinopteri ","Gadiformes ","Merlucciidae ","Merluccius","Merluccius_australis","Merluza austral","Demersal","","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA,""
"4",177,"Chordata","Actinopteri ","Gadiformes ","Merlucciidae ","Macruronus","Macruronus_magellanicus","Merluza de cola","Demersal","","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA,""
"5",180,"Chordata","Actinopteri ","Perciformes","Zoarcidae","Iluocoetes","Iluocoetes_fimbriatus","","Demersal","CB, CCH","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA,""
"6",182,"Chordata","Actinopteri ","Perciformes","Nototheniidae","Dissostichus","Dissostichus_eleginoides","Merluza negra","Demersal","","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA,""
"7",241,"Chordata","Actinopterygii","Perciformes","Nototheniidae","Dissostichus","Dissostichus_eleginoides","Merluza negra","Demersal","","Peces demersales",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"8",275,"Chordata","Actinopteri ","Gadiformes ","Merlucciidae ","Macruronus","Macruronus_magellanicus","Merluza de cola","Demersal","","Peces demersales",13,"https://doi.org/10.3354/meps12296",NA,""
"9",276,"Chordata","Actinopteri ","Gadiformes ","Merlucciidae ","Merluccius","Merluccius_australis","Merluza austral","Demersal","","Peces demersales",13,"https://doi.org/10.3354/meps12296",NA,""
"10",288,"Chordata","Actinopteri ","Perciformes ","Nototheniidae","Dissostichus","Dissostichus_eleginoides","Merluza negra","Demersal","","Peces demersales",13,"https://doi.org/10.3354/meps12296",NA,""
"11",290,"Chordata","Actinopteri ","Gadiformes ","Merlucciidae ","Macruronus","Macruronus_magellanicus","Merluza de cola","Demersal","","Peces demersales",13,"https://doi.org/10.3354/meps12296",NA,""
"12",291,"Chordata","Actinopteri ","Gadiformes ","Merlucciidae ","Merluccius","Merluccius_australis","Merluza austral","Demersal","","Peces demersales",13,"https://doi.org/10.3354/meps12296",NA,""
"13",327,"Chordata","Actinopteri","Perciformes","Nototheniidae ","Dissostichus","Dissostichus_eleginoides","Merluza negra","Demersal","","Peces demersales",18,"https://doi.org/10.1371/journal.pone.0233156",NA,""
"14",396,"Chordata","Actinopteri ","Gadiformes ","Merlucciidae ","Merluccius","Merluccius_hubbsi","Merluza Argentina","Demersal","","Peces demersales",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
"15",397,"Chordata","Actinopteri ","Gadiformes ","Merlucciidae ","Merluccius","Merluccius_australis","Merluza austral","Demersal","","Peces demersales",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
"16",398,"Chordata","Actinopteri ","Gadiformes ","Merlucciidae ","Macruronus","Macruronus_magellanicus","Merluza de cola","Demersal","","Peces demersales",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
"17",401,"Chordata","Actinopteri ","Perciformes","Nototheniidae","Dissostichus","Dissostichus_eleginoides","Merluza negra","Demersal","","Peces demersales",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
"18",402,"Chordata","Actinopteri ","Perciformes","Bovichtidae ","Cottoperca","Cottoperca_trigloides","Pez piedra","Demersal","CB","Peces demersales",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
"19",403,"Chordata","Actinopteri ","Perciformes","Zoarcidae","Iluocoetes","Iluocoetes_fimbriatus","","Demersal","CB, CCH","Peces demersales",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
"20",422,"Chordata","Actinopteri ","Perciformes","Bovichtidae ","Cottoperca","Cottoperca_trigloides","Pez piedra","Demersal","CB","Peces demersales",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
"21",423,"Chordata","Actinopteri ","Perciformes","Nototheniidae","Dissostichus","Dissostichus_eleginoides","Merluza negra","Demersal","","Peces demersales",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
"22",426,"Chordata","Petromyzonti","Petromyzontiformes","Geotriidae ","Geotria","Geotria_australis","Lamprea de boca ancha","Demersal","CCH","Peces demersales",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
"23",433,"Chordata","Actinopterygii","Perciformes","Nototheniidae","Dissostichus","Dissostichus_eleginoides","Merluza negra","Demersal","CCA","Peces demersales",25,"https://sib.gob.ar/#!/area-protegida/area-marina-protegida-yaganes",NA,""
"24",505,"Chordata","Actinopteri ","Gadiformes ","Merlucciidae ","Macruronus","Macruronus_magellanicus","Merluza de cola","Demersal","","Peces demersales",26,"",NA,""
"25",511,"Chordata","Actinopterygii","Perciformes","Nototheniidae","Dissostichus","Dissostichus_eleginoides","Merluza negra","Demersal","","Peces demersales",26,"",NA,""
"26",513,"Chordata","Actinopteri ","Gadiformes ","Merlucciidae ","Merluccius","Merluccius_australis","Merluza austral","Demersal","","Peces demersales",26,"",NA,""
