"","ID","Presa","Grupo.funcional.presa","Depredador","Grupo.funcional.depredador","Estrategia","Fuente","Expertise.depredador","Expertise.presa","Referencia","Enlace","Referente"
"1",23,"Acanthephyra ","Malacostraca","Grampus_griseus","Delphinidae","","Heterótrofo","Mamiferos marinos","Crustaceos peracaridos",4,"https://doi.org/10.1017/S095410200400207X",NA
"2",24,"Pasiphaea_longispina","Malacostraca","Grampus_griseus","Delphinidae","","Heterótrofo","Mamiferos marinos","Crustaceos peracaridos",8,"https://doi.org/10.3354/meps08826",NA
"3",25,"Euphausia_superba","Malacostraca","Grampus_griseus","Delphinidae","","Heterótrofo","Mamiferos marinos","Crustaceos peracaridos",8,"https://doi.org/10.3354/meps08826",NA
"4",26,"Gnathophausiidae","Malacostraca","Grampus_griseus","Delphinidae","","Heterótrofo","Mamiferos marinos","Crustaceos peracaridos",8,"https://doi.org/10.3354/meps08826",NA
"5",27,"Micromesistius_australis","Gadiformes ","Grampus_griseus","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"6",28,"Sprattus_fuegensis","Clupeiformes ","Grampus_griseus","Delphinidae","","Heterótrofo","Mamiferos marinos","Sardinas",8,"https://doi.org/10.3354/meps08826",NA
"7",29,"Myctophidae* ","Myctophiformes ","Grampus_griseus","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"8",30,"Merluccius_hubbsi","Gadiformes ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA
"9",31,"Merluccius_australis","Gadiformes ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA
"10",32,"Salilota_australis","Gadiformes ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"11",33,"Macruronus_magellanicus","Gadiformes ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA
"12",34,"Cottoperca_gobio","Perciformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"13",35,"Coelorinchus_fasciatus","Gadiformes ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"14",36,"Iluocoetes_fimbriatus","Perciformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"15",37,"Cottunculus_granulosus","Perciformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"16",38,"Dissostichus_eleginoides","Perciformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA
"17",39,"Genypterus_blacodes","Ophidiiformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"18",40,"Nototeniidae*","Perciformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"19",41,"Micromesistius_australis","Gadiformes ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"20",42,"Patagonotothen_ramsayi","Perciformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"21",43,"Pseudocythus_maculatus","Zeiformes ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"22",44,"Myctophidae* ","Myctophiformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"23",45,"Bathyraja_macloviana","Elasmobranchii","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Condrictios",8,"https://doi.org/10.3354/meps08826",NA
"24",46,"Eleginops_maclovinus","Perciformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"25",47,"Zoarcidae*","Perciformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"26",48,"Patagonotothen* ","Perciformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"27",49,"Patagonotothen_sima","Perciformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"28",50,"Patagonotothen_tessellata","Perciformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"29",51,"Odonthestes*","Atheriniformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"30",52,"Sprattus_fuegensis","Clupeiformes ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Sardinas",8,"https://doi.org/10.3354/meps08826",NA
"31",53,"Loligo_gahi","Cephalopoda ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"32",54,"llex*","Cephalopoda ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
