"","ID","Presa","Grupo.funcional.presa","Depredador","Grupo.funcional.depredador","Estrategia","Fuente","Expertise.depredador","Expertise.presa","Referencia","Enlace","Referente"
"1",10,"Gonatus_antarcticus","Cephalopoda","Thalassarche_chrysostoma","Procellariiformes","Cazador","Heterótrofo","Aves marinas","Cefalopodos",4,"https://doi.org/10.1017/S095410200400207X",NA
"2",11,"Kondakovia _longimana","Cephalopoda","Thalassarche_chrysostoma","Procellariiformes","Cazador","Heterótrofo","Aves marinas","Cefalopodos",4,"https://doi.org/10.1017/S095410200400207X",NA
"3",12,"Batoteuthis_skolops","Cephalopoda","Thalassarche_chrysostoma","Procellariiformes","Cazador","Heterótrofo","Aves marinas","Cefalopodos",4,"https://doi.org/10.1017/S095410200400207X",NA
"4",13,"Histioteuthis","Cephalopoda","Thalassarche_chrysostoma","Procellariiformes","Cazador","Heterótrofo","Aves marinas","Cefalopodos",4,"https://doi.org/10.1017/S095410200400207X",NA
"5",14,"Alluroteuthis_antarcticus","Cephalopoda","Thalassarche_chrysostoma","Procellariiformes","Cazador","Heterótrofo","Aves marinas","Cefalopodos",4,"https://doi.org/10.1017/S095410200400207X",NA
"6",15,"Martialia_hyadesi","Cephalopoda","Thalassarche_chrysostoma","Procellariiformes","Cazador","Heterótrofo","Aves marinas","Cefalopodos",4,"https://doi.org/10.1017/S095410200400207X",NA
"7",16,"Mastigoteuthis_psychrophila","Cephalopoda","Thalassarche_chrysostoma","Procellariiformes","Cazador","Heterótrofo","Aves marinas","Cefalopodos",4,"https://doi.org/10.1017/S095410200400207X",NA
"8",53,"Loligo_gahi","Cephalopoda ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"9",54,"llex*","Cephalopoda ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"10",55,"Ilex_argentinus","Cephalopoda ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"11",56,"Moroteuthis_ingens","Cephalopoda ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"12",57,"Semirrosia_tenera","Cephalopoda ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"13",58,"Enteroctopus_megalocyathus","Cephalopoda ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"14",73,"Loligo_gahi","Cephalopoda ","Lissodelphis_peronii","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"15",74,"Ilex_argentinus","Cephalopoda ","Lissodelphis_peronii","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"16",75,"Moroteuthis_ingens","Cephalopoda ","Lissodelphis_peronii","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"17",98,"Loligo_gahi","Cephalopoda ","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"18",99,"llex*","Cephalopoda ","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"19",100,"Ilex_argentinus","Cephalopoda ","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"20",101,"Moroteuthis_ingens","Cephalopoda ","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"21",102,"Semirrosia_tenera","Cephalopoda ","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"22",104,"Enteroctopus_megalocyathus","Cephalopoda ","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"23",118,"Ilex_argentinus","Cephalopoda ","Cephalorhynchus_commersonii","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"24",119,"Loligo_gahi","Cephalopoda ","Cephalorhynchus_commersonii","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"25",143,"Loligo_gahi","Cephalopoda ","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"26",144,"llex","Cephalopoda ","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"27",145,"Ilex_argentinus","Cephalopoda ","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"28",146,"Moroteuthis_ingens","Cephalopoda ","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"29",147,"Semirrosia_tenera","Cephalopoda ","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"30",148,"Enteroctopus_megalocyathus","Cephalopoda ","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"31",162,"Ilex_argentinus","Cephalopoda ","Phocoena_spinipinnis","Phocoenidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"32",163,"Loligo_gahi","Cephalopoda ","Phocoena_spinipinnis","Phocoenidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA
"33",164,"Cephalopods*","Cephalopoda ","Globicephala_melas","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA
"34",165,"Ancistrocheirus*","Cephalopoda ","Thalassarche_chrysostoma","Procellariiformes","","Heterótrofo","Aves marinas","Cefalopodos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA
"35",166,"Ancistrocheirus*","Cephalopoda ","Thalassarche_melanophris","Procellariiformes","","Heterótrofo","Aves marinas","Cefalopodos",11,"https://doi.org/10.3354/meps11689",NA
"36",168,"Cephalopods*","Cephalopoda ","Spheniscus_magellanicus_female","Sphenisciformes","","Heterótrofo","Aves marinas","Cefalopodos",11,"https://doi.org/10.3354/meps11689",NA
"37",170,"Cephalopods*","Cephalopoda ","Spheniscus_magellanicus_male","Sphenisciformes","","Heterótrofo","Aves marinas","Cefalopodos",11,"https://doi.org/10.3354/meps11689",NA
"38",172,"Cephalopods*","Cephalopoda ","Otaria*","Otariidae ","","Heterótrofo","Mamiferos marinos","Cefalopodos",11,"https://doi.org/10.3354/meps11689",NA
"39",174,"Cephalopods*","Cephalopoda ","Delphinus","Delphinidae","","Heterótrofo","Mamiferos marinos","Cefalopodos",11,"https://doi.org/10.3354/meps11689",NA
"40",185,"Loligo_gahi","Cephalopoda ","Spheniscus_magellanicus_male","Sphenisciformes","","Heterótrofo","Aves marinas","Cefalopodos",11,"https://doi.org/10.3354/meps11689",NA
"41",186,"Loligo_gahi","Cephalopoda ","Spheniscus_magellanicus_female","Sphenisciformes","","Heterótrofo","Aves marinas","Cefalopodos",11,"https://doi.org/10.3354/meps11689",NA
"42",189,"Loligo_gahi","Cephalopoda ","Berardius_arnuxii","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"43",190,"Ilex_argentinus","Cephalopoda ","Berardius_arnuxii","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"44",194,"Galiteuthis_glacialis","Cephalopoda ","Berardius_arnuxii","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"45",197,"Taonius*","Cephalopoda ","Berardius_arnuxii","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"46",198,"Histioteuthis_atlantica","Cephalopoda ","Berardius_arnuxii","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
"47",199,"Histioteuthis_macrohista","Cephalopoda ","Berardius_arnuxii","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Cefalopodos",13,"",NA
