"","ID","Presa","Grupo.funcional.presa","Depredador","Grupo.funcional.depredador","Estrategia","Fuente","Expertise.depredador","Expertise.presa","Referencia","Enlace","Referente"
"1",30,"Merluccius_hubbsi","Gadiformes ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA
"2",31,"Merluccius_australis","Gadiformes ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA
"3",33,"Macruronus_magellanicus","Gadiformes ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA
"4",38,"Dissostichus_eleginoides","Perciformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA
"5",76,"Merluccius_hubbsi","Gadiformes ","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA
"6",77,"Merluccius_australis","Gadiformes ","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA
"7",79,"Macruronus_magellanicus","Gadiformes ","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA
"8",84,"Dissostichus_eleginoides","Perciformes","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA
"9",112,"Merluccius_hubbsi","Gadiformes ","Cephalorhynchus_commersonii","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA
"10",113,"Merluccius_australis","Gadiformes ","Cephalorhynchus_commersonii","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA
"11",120,"Merluccius_hubbsi","Gadiformes ","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA
"12",121,"Merluccius_australis","Gadiformes ","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA
"13",123,"Macruronus_magellanicus","Gadiformes ","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA
"14",128,"Dissostichus_eleginoides","Perciformes","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA
"15",156,"Merluccius_hubbsi","Gadiformes ","Phocoena_spinipinnis","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA
"16",157,"Merluccius_australis","Gadiformes ","Phocoena_spinipinnis","Phocoenidae","","Heterótrofo","Mamiferos marinos","Peces demersales",8,"https://doi.org/10.3354/meps08826",NA
"17",191,"Macruronus_magellanicus","Gadiformes ","Berardius_arnuxii","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"18",192,"Merluccius_australis","Gadiformes ","Berardius_arnuxii","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"19",204,"Dissostichus_eleginoides","Perciformes","Berardius_arnuxii","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"20",206,"Macruronus_magellanicus","Gadiformes ","Berardius_arnuxii","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"21",207,"Merluccius_australis","Gadiformes ","Berardius_arnuxii","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"22",217,"Macruronus_magellanicus","Gadiformes ","Hyperoodon_planifrons","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"23",218,"Merluccius_australis","Gadiformes ","Hyperoodon_planifrons","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"24",230,"Dissostichus_eleginoides","Perciformes","Hyperoodon_planifrons","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"25",232,"Macruronus_magellanicus","Gadiformes ","Hyperoodon_planifrons","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"26",233,"Merluccius_australis","Gadiformes ","Hyperoodon_planifrons","Ziphiidae ","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"27",243,"Macruronus_magellanicus","Gadiformes ","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"28",244,"Merluccius_australis","Gadiformes ","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"29",256,"Dissostichus_eleginoides","Perciformes","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"30",258,"Macruronus_magellanicus","Gadiformes ","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"31",259,"Merluccius_australis","Gadiformes ","Mesoplodon_bowdoini","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"32",269,"Macruronus_magellanicus","Gadiformes ","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"33",270,"Merluccius_australis","Gadiformes ","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"34",282,"Dissostichus_eleginoides","Perciformes","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"35",284,"Macruronus_magellanicus","Gadiformes ","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"36",285,"Merluccius_australis","Gadiformes ","Mesoplodon_grayi","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"37",295,"Macruronus_magellanicus","Gadiformes ","Mesoplodon_hectori","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"38",296,"Merluccius_australis","Gadiformes ","Mesoplodon_hectori","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"39",308,"Dissostichus_eleginoides","Perciformes","Mesoplodon_hectori","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"40",310,"Macruronus_magellanicus","Gadiformes ","Mesoplodon_hectori","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"41",311,"Merluccius_australis","Gadiformes ","Mesoplodon_hectori","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
"42",321,"Macruronus_magellanicus","Gadiformes ","Mesoplodon_layardii","Ziphiidae","","Heterótrofo","Mamiferos marinos","Peces demersales",13,"",NA
