"","ID","Presa","Grupo.funcional.presa","Depredador","Grupo.funcional.depredador","Estrategia","Fuente","Expertise.depredador","Expertise.presa","Referencia","Enlace","Referente"
"1",1,"Electrona_antartica","Myctophiformes","Thalassarche_chrysostoma","Procellariiformes","Cazador","Heterótrofo","Aves marinas","Peces",4,"https://doi.org/10.1017/S095410200400207X",NA
"2",2,"Electrona_carlsbergi","Myctophiformes","Thalassarche_chrysostoma","Procellariiformes","Cazador","Heterótrofo","Aves marinas","Peces",4,"https://doi.org/10.1017/S095410200400207X",NA
"3",3,"Gymnoscopelus_fraseri","Myctophiformes","Thalassarche_chrysostoma","Procellariiformes","Cazador","Heterótrofo","Aves marinas","Peces",4,"https://doi.org/10.1017/S095410200400207X",NA
"4",4,"Gymnoscopelus_hintonoides","Myctophiformes","Thalassarche_chrysostoma","Procellariiformes","Cazador","Heterótrofo","Aves marinas","Peces",4,"https://doi.org/10.1017/S095410200400207X",NA
"5",5,"Gymnoscopelus_nicholsi","Myctophiformes","Thalassarche_chrysostoma","Procellariiformes","Cazador","Heterótrofo","Aves marinas","Peces",4,"https://doi.org/10.1017/S095410200400207X",NA
"6",6,"Gymnoscopelus*","Myctophiformes","Thalassarche_chrysostoma","Procellariiformes","Cazador","Heterótrofo","Aves marinas","Peces",4,"https://doi.org/10.1017/S095410200400207X",NA
"7",7,"Krefftichthys_andersoni","Myctophiformes","Thalassarche_chrysostoma","Procellariiformes","Cazador","Heterótrofo","Aves marinas","Peces",4,"https://doi.org/10.1017/S095410200400207X",NA
"8",8,"Macrouridae","Gadiformes","Thalassarche_chrysostoma","Procellariiformes","Cazador","Heterótrofo","Aves marinas","Peces",4,"https://doi.org/10.1017/S095410200400207X",NA
"9",9,"Melanonus_gracilis","Gadiformes","Thalassarche_chrysostoma","Procellariiformes","Cazador","Heterótrofo","Aves marinas","Peces",4,"https://doi.org/10.1017/S095410200400207X",NA
"10",27,"Micromesistius_australis","Gadiformes ","Grampus_griseus","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"11",29,"Myctophidae* ","Myctophiformes ","Grampus_griseus","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"12",32,"Salilota_australis","Gadiformes ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"13",34,"Cottoperca_gobio","Perciformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"14",35,"Coelorinchus_fasciatus","Gadiformes ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"15",36,"Iluocoetes_fimbriatus","Perciformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"16",37,"Cottunculus_granulosus","Perciformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"17",39,"Genypterus_blacodes","Ophidiiformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"18",40,"Nototeniidae*","Perciformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"19",41,"Micromesistius_australis","Gadiformes ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"20",42,"Patagonotothen_ramsayi","Perciformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"21",43,"Pseudocythus_maculatus","Zeiformes ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"22",44,"Myctophidae* ","Myctophiformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"23",46,"Eleginops_maclovinus","Perciformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"24",47,"Zoarcidae*","Perciformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"25",48,"Patagonotothen* ","Perciformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"26",49,"Patagonotothen_sima","Perciformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"27",50,"Patagonotothen_tessellata","Perciformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"28",51,"Odonthestes*","Atheriniformes","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"29",65,"Patagonotothen_sima","Perciformes","Lagenorhynchus_australis","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"30",66,"Patagonotothen_tessellata","Perciformes","Lagenorhynchus_australis","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"31",67,"Eleginops_maclovinus","Perciformes","Lagenorhynchus_australis","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"32",69,"Micromesistius_australis","Perciformes","Lissodelphis_peronii","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"33",70,"Coelorinchus_fasciatus","Gadiformes ","Lissodelphis_peronii","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"34",71,"Nototeniidae*","Perciformes","Lissodelphis_peronii","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"35",72,"Iluocoetes_fimbriatus","Perciformes","Lissodelphis_peronii","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"36",78,"Salilota_australis","Gadiformes ","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"37",80,"Cottoperca_gobio","Perciformes","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"38",81,"Coelorinchus_fasciatus","Gadiformes ","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"39",82,"Iluocoetes_fimbriatus","Perciformes","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
"40",83,"Cottunculus_granulosus","Perciformes","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Peces",8,"https://doi.org/10.3354/meps08826",NA
