"","ID","Filum","Clase","Orden","Familia","G�.nero","Especie.trófica","Nombre.común","H�.bitat","Dominio","Expertise","Referencia","Enlace"
"1",1,"Bryozoa","Gymnolaemata ","Cheilostomatida ","Celleporidae ",NA,"Celleporidae* ",NA,"Bentónico","CB","Bentos",1,"https://doi.org/10.3989/scimar.1999.63s1155"
"2",3,"Bryozoa","Gymnolaemata ","Cheilostomatida ","Celleporidae ","Osthimosia","Osthimosia*",NA,"Bentónico","CB","Bentos",1,"https://doi.org/10.3989/scimar.1999.63s1155"
"3",7,"Bryozoa","Gymnolaemata ","Cheilostomatida","Smittinidae","Smittina","Smittina*",NA,"Bentónico","CB","Bentos",1,"https://doi.org/10.3989/scimar.1999.63s1155"
"4",16,"Mollusca","Bivalvia","Mytiloidea","Mytilidae","Mytilus","Mytilus_chilensis","Mejillón","Bentónico","CB","Bentos",1,"https://doi.org/10.3989/scimar.1999.63s1155"
"5",22,"Rhodophyta","Florideophyceae","Corallinales","Hapalidiaceae","Lithothamnion","Lithothamnion*","Alga roja","Bentónico","CB","Bentos",1,"https://doi.org/10.3989/scimar.1999.63s1155"
"6",26,"Rhodophyta","Florideophyceae","Corallinales","Hapalidiaceae","Messophyllum","Messophyllum*","Alga roja","Bentónico","CB","Bentos",1,"https://doi.org/10.3989/scimar.1999.63s1155"
"7",27,"Rhodophyta","Florideophyceae","Gigartinales","Kallymeniaceae","Callophyllis","Callophyllis_variegata","Carola","Bentónico","CB","Bentos",1,"https://doi.org/10.3989/scimar.1999.63s1155"
"8",28,"Rhodophyta","Florideophyceae","Gigartinales","Kallymeniaceae","Callophyllis","Callophyllis_astrosanguinea",NA,"Bentónico","CB","Bentos",1,"https://doi.org/10.3989/scimar.1999.63s1155"
"9",29,"Rhodophyta","Florideophyceae","Gigartinales","Gigartinaceae","Iridaea","Iridaea_codata",NA,"Bentónico","CB","Bentos",1,"https://doi.org/10.3989/scimar.1999.63s1155"
"10",31,"Ochrophyta","Phaeophyceae","Laminariales","Laminariaceae","Macrocystis","Macrocystis_pyrifera","Kelp","Bentónico","CB","Bentos",1,"https://doi.org/10.3989/scimar.1999.63s1155"
"11",46,"Mollusca","Bivalvia","Pectinoida","Pectinidae","Chlamys","Chlamys_patagonica","Vieira patagónica","Bentónico","","Bentos",1,"https://doi.org/10.3989/scimar.1999.63s1155"
