"","ID","Filum","Clase","Orden","Familia","Género","Especie.trófica","Nombre.común","Hábitat","Dominio","Expertise","Referencia","Enlace","X","X.1"
"1",98,"Mollusca","Cephalopoda","Octopoda",NA,NA,"Octopoda*",NA,NA,"","Cefalopodos",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"2",138,"Mollusca","Cephalopoda","Teuthida","Gonatidae","Gonatus","Gonatus_antarcticus","","","","Cefalopodos",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"3",139,"Mollusca","Cephalopoda","Oegopsida","Onychoteuthidae","Kondakovia ","Kondakovia _longimana","","","","Cefalopodos",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"4",140,"Mollusca","Cephalopoda","Oegopsida","Batotheutidae","Batoteuthis","Batoteuthis_skolops","","","","Cefalopodos",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"5",141,"Mollusca","Cephalopoda","Teuthida","Histioteuthidae","Histioteuthis","Histioteuthis*","","","","Cefalopodos",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"6",142,"Mollusca","Cephalopoda","Oegopsida","Neoteuthidae","Alluroteuthis","Alluroteuthis_antarcticus","","","","Cefalopodos",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"7",143,"Mollusca","Cephalopoda","Oegopsida","Ommastrephidae","Martialia","Martialia_hyadesi","","","","Cefalopodos",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"8",144,"Mollusca","Cephalopoda","Oegopsida","Mastigoteuthidae","Mastigoteuthis","Mastigoteuthis_psychrophila","","","","Cefalopodos",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"9",145,"Mollusca","Cephalopoda","Oegopsida","Cranchiidae","Galiteuthis","Galiteuthis_glacialis","","","","Cefalopodos",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"10",146,"Mollusca","Cephalopoda","Oegopsida","Cranchiidae","Taonius","Taonius*","","","","Cefalopodos",4,"https://doi.org/10.1017/S095410200400207X",NA,""
"11",197,"Mollusca","Cephalopoda ","Myopsida","Loliginidae ","Loligo","Loligo_gahi","","","","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA,""
"12",198,"Mollusca","Cephalopoda ","Oegopsida ","Ommastrephidae ","llex","llex*","","","","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA,""
"13",199,"Mollusca","Cephalopoda ","Oegopsida ","Ommastrephidae ","llex","Ilex_argentinus","Calamar argentino","","","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA,""
"14",200,"Mollusca","Cephalopoda ","Oegopsida ","Onychoteuthidae ","Moroteuthis","Moroteuthis_ingens","","","","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA,""
"15",201,"Mollusca","Cephalopoda ","Sepioidea","Sepiolidae","Semirrosia","Semirrosia_tenera","","","","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA,""
"16",202,"Mollusca","Cephalopoda ","Octopoda","Enteroctopodidae","Enteroctopus","Enteroctopus_megalocyathus","Pulpo rojo patagónico","","","Cefalopodos",8,"https://doi.org/10.3354/meps08826",NA,""
"17",238,"Mollusca","Cephalopoda ","Oegopsida","Ancistrocheiridae ","Ancistrocheirus","Ancistrocheirus*","","","","Cefalopodos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"18",251,"Mollusca","Cephalopoda",NA,NA,NA,"Cephalopoda*","","","","Cefalopodos",11,"https://doi.org/10.3354/meps11689",NA,""
"19",255,"Mollusca","Cephalopoda",NA,NA,NA,"Cephalopoda_juvenil","","","","Cefalopodos",11,"https://doi.org/10.3354/meps11689",NA,""
"20",258,"Mollusca","Cephalopoda ","Myopsida","Loliginidae ","Loligo","Loligo_gahi","","","","Cefalopodos",11,"https://doi.org/10.3354/meps11689",NA,""
"21",273,"Mollusca","Cephalopoda ","Myopsida","Loliginidae ","Loligo","Loligo_gahi","","","","Cefalopodos",13,"https://doi.org/10.3354/meps12296",NA,""
"22",274,"Mollusca","Cephalopoda ","Oegopsida ","Ommastrephidae ","llex","Ilex_argentinus","Calamar argentino","","","Cefalopodos",13,"https://doi.org/10.3354/meps12296",NA,""
"23",278,"Mollusca","Cephalopoda ","Oegopsida","Cranchiidae ","Galiteuthis","Galiteuthis_glacialis","","","","Cefalopodos",13,"https://doi.org/10.3354/meps12296",NA,""
"24",281,"Mollusca","Cephalopoda ","Oegopsida","Cranchiidae ","Taonius","Taonius*","","","","Cefalopodos",13,"https://doi.org/10.3354/meps12296",NA,""
"25",282,"Mollusca","Cephalopoda ","Oegopsida","Histioteuthidae ","Histioteuthis","Histioteuthis_atlantica","","","","Cefalopodos",13,"https://doi.org/10.3354/meps12296",NA,""
"26",283,"Mollusca","Cephalopoda ","Oegopsida","Histioteuthidae ","Histioteuthis","Histioteuthis_macrohista","","","","Cefalopodos",13,"https://doi.org/10.3354/meps12296",NA,""
"27",284,"Mollusca","Cephalopoda ","Oegopsida","Gonatidae ","Gonatus","Gonatus_antarcticus","","","","Cefalopodos",13,"https://doi.org/10.3354/meps12296",NA,""
"28",285,"Mollusca","Cephalopoda ","Oegopsida","Onychoteuthidae","Kondakovia","Kondakovia_longimana","","","","Cefalopodos",13,"https://doi.org/10.3354/meps12296",NA,""
"29",286,"Mollusca","Cephalopoda ","Oegopsida","Batoteuthidae","Batoteuthis","Batoteuthis_skolops","","","","Cefalopodos",13,"https://doi.org/10.3354/meps12296",NA,""
"30",287,"Mollusca","Cephalopoda ","Oegopsida","Cranchiidae ","Galiteuthis","Galiteuthis_glacialis","","","","Cefalopodos",13,"https://doi.org/10.3354/meps12296",NA,""
"31",390,"Mollusca","Cephalopoda ","Oegopsida ","Onychoteuthidae ","Onykia","Onykia_ingens","Calamar anzuelo mayor","CCH, CB","","Cefalopodos",21,"https://doi.org/10.1007/s00300-021-02908-2",NA,""
