"","ID","Filum","Clase","Orden","Familia","Género","Especie.trófica","Nombre.común","Hábitat","Dominio","Expertise","Referencia","Enlace","X","X.1"
"1",4,"Echinodermata","Echinoidea","Cidaroida","Cidaridae",NA,"Cidaridae*",NA,"Bentónico","CB","Erizos de mar",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"2",25,"Echinodermata","Echinoidea",NA,NA,NA,"Echinoidea*",NA,"Bentónico","CB","Erizos de mar",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"3",37,"Echiodermata","Echinoidea","Temnopleuroida","Temnopleuridae","Pseudechinus ","Pseudechinus_magellanicus","Erizo de mar ","Bentónico","CB","Erizos de mar",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"4",38,"Echiodermata","Echinoidea","Echinoida","Echinidae","Loxechinus","Loxechinus_albus","Erizo de mar chileno","Bentónico","CB","Erizos de mar",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"5",68,"Echinodermata","Echinoidea","Spatangoida ","Schizasteridae","Trypilaster","Trypilaster*",NA,NA,"","Erizos de mar",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"6",308,"Echinodermata ","Echinoidea","Camarodonta ","Parechinidae","Loxechinus","Loxechinus_albus","Erizo de mar chileno","Bentónico","CB","Erizos de mar",16,"https://doi.org/10.1111/ibi.12547",NA,""
"7",311,"Echiodermata","Echinoidea","Temnopleuroida","Temnopleuridae","Pseudechinus ","Pseudechinus_magellanicus","Erizo de mar ","Bentónico","CB","Erizos de mar",17,"https://doi.org/10.1371/journal.pone.0229259",NA,""
"8",312,"Echiodermata","Echinoidea","Cidaroida ","Cidaridae","Austrocidaris","Austrocidaris_canaliculatum","Erizo de mar ","Bentónico","CB","Erizos de mar",17,"https://doi.org/10.1371/journal.pone.0229259",NA,""
"9",313,"Echiodermata","Echinoidea","Arbacioida ","Arbaciidae ","Arbacia","Arbacia_dufresnii","Erizo de mar ","Bentónico","CB","Erizos de mar",17,"https://doi.org/10.1371/journal.pone.0229259",NA,""
"10",314,"Echiodermata","Echinoidea","Forcipulatida ","Asteriidae ","Anasterias","Anasterias_antarctica","Estrella de mar cenicienta","Bentónico","CB","Erizos de mar",17,"https://doi.org/10.1371/journal.pone.0229259",NA,""
"11",315,"Echiodermata","Echinoidea","Forcipulatida ","Stichasteridae ","Cosmasterias","Cosmasterias_lurida","Estrella vioeta","Bentónico","CB","Erizos de mar",17,"https://doi.org/10.1371/journal.pone.0229259",NA,""
"12",316,"Echiodermata","Echinoidea","Valvatida ","Asterinidae ","Asterina","Asterina_fimbriata","","Bentónico","CB","Erizos de mar",17,"https://doi.org/10.1371/journal.pone.0229259",NA,""
