"","ID","Filum","Clase","Orden","Familia","Género","Especie.trófica","Nombre.común","Hábitat","Dominio","Expertise","Referencia","Enlace","X","X.1"
"1",165,"Chordata","Mammalia","Artiodactyla","Delphinidae","Lagenorhynchus ","Lagenorhynchus_australis","Delfín Austral","","","Mamiferos marinos",7,"https://doi.org/10.1016/B978-0-12-373553-9.00196-6",NA,""
"2",166,"Chordata","Mammalia","Cetartiodactyla ","Delphinidae","Grampus","Grampus_griseus","","","CB","Mamiferos marinos",8,"https://doi.org/10.3354/meps08826",NA,""
"3",167,"Chordata","Mammalia","Artiodactyla","Delphinidae","Lagenorhynchus ","Lagenorhynchus_cruciger","Delfín cruzado","","CB","Mamiferos marinos",8,"https://doi.org/10.3354/meps08826",NA,""
"4",168,"Chordata","Mammalia","Artiodactyla","Delphinidae","Lagenorhynchus ","Lagenorhynchus_australis","Delfín Austral","","CB","Mamiferos marinos",8,"https://doi.org/10.3354/meps08826",NA,""
"5",169,"Chordata","Mammalia","Cetartiodactyla ","Delphinidae","Lissodelphis","Lissodelphis_peronii","","","CB","Mamiferos marinos",8,"https://doi.org/10.3354/meps08826",NA,""
"6",170,"Chordata","Mammalia","Cetartiodactyla ","Delphinidae","Pseudorca","Pseudorca_crassidens","","","CB","Mamiferos marinos",8,"https://doi.org/10.3354/meps08826",NA,""
"7",171,"Chordata","Mammalia","Cetartiodactyla ","Delphinidae","Cephalorhynchus","Cephalorhynchus_commersonii","Tonina overa","","CB","Mamiferos marinos",8,"https://doi.org/10.3354/meps08826",NA,""
"8",172,"Chordata","Mammalia","Artiodactyla","Phocoenidae","Phocoena","Phocoena_dioptrica","Marsopa de anteojos","","CB","Mamiferos marinos",8,"https://doi.org/10.3354/meps08826",NA,""
"9",173,"Chordata","Mammalia","Artiodactyla","Phocoenidae","Phocoena","Phocoena_spinipinnis","Marsopa espinosa","Pelágico","CB","Mamiferos marinos",8,"https://doi.org/10.3354/meps08826",NA,""
"10",208,"Chordata","Mammalia","Cetartiodactyla","Physeteridae ","Physeter","Physeter_macrocephalus","Cachalote","Pelágico","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"11",209,"Chordata","Mammalia","Cetartiodactyla","Kogiidae","Kogia","Kogia_breviceps","","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"12",210,"Chordata","Mammalia","Cetartiodactyla","Delphinidae","Orcinus","Orcinus_orca","","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"13",211,"Chordata","Mammalia","Cetartiodactyla","Delphinidae","Globicephala","Globicephala_melas","","","CAA","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"14",212,"Chordata","Mammalia","Cetartiodactyla","Delphinidae","Pseudorca","Pseudorca_crassidens","","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"15",213,"Chordata","Mammalia","Cetartiodactyla","Delphinidae","Lagenorhynchus","Lagenorhynchus_obscurus","","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"16",214,"Chordata","Mammalia","Cetartiodactyla","Delphinidae","Lagenorhynchus","Lagenorhynchus_cruciger","Delfín cruzado","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"17",215,"Chordata","Mammalia","Cetartiodactyla","Delphinidae","Lissodelphis","Lissodelphis_peronii","","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"18",216,"Chordata","Mammalia","Cetartiodactyla","Delphinidae","Cephalorhynchus","Cephalorhynchus_commersonii","Tonina overa","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"19",217,"Chordata","Mammalia","Cetartiodactyla","Delphinidae","Cephalorhynchus","Cephalorhynchus_hectori","","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"20",218,"Chordata","Mammalia","Cetartiodactyla","Delphinidae","Tursiops","Tursiops_truncatus","","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"21",219,"Chordata","Mammalia","Cetartiodactyla","Delphinidae","Delphinus","Delphinus_delphis","","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"22",220,"Chordata","Mammalia","Cetartiodactyla","Phocoenidae","Phocoena","Phocoena_dioptrica","Marsopa de anteojos","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"23",221,"Chordata","Mammalia","Cetartiodactyla","Ziphiidae ","Hyperoodon","Hyperoodon_planifrons","","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"24",222,"Chordata","Mammalia","Cetartiodactyla","Ziphiidae ","Berardius","Berardius_arnuxii","Delfín picudo de Arnoux","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"25",223,"Chordata","Mammalia","Cetartiodactyla","Ziphiidae ","Ziphius","Ziphius_cavirostris","Ballena de Cuvier","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"26",224,"Chordata","Mammalia","Cetartiodactyla","Ziphiidae ","Tasmacetus","Tasmacetus_shepherdi","Zifio de Shepherd","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"27",225,"Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","Mesoplodon_layardii","","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"28",226,"Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","Mesoplodon_traversii","","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"29",227,"Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","Mesoplodon_grayi","Delfín picudo de Gray","","CAA","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"30",228,"Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","Mesoplodon_bowdoini","Zifio de Andrew","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"31",229,"Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","Mesoplodon_hectori","Zifio de Hector","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"32",230,"Chordata","Mammalia","Cetartiodactyla","Kogiidae","Kogia","Kogia_sima","","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"33",231,"Chordata","Mammalia","Cetartiodactyla","Delphinidae","Grampus","Grampus_griseus","","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"34",232,"Chordata","Mammalia","Cetartiodactyla","Delphinidae","Steno","Steno_bredanensis","","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"35",233,"Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","Mesoplodon_peruvianus","","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"36",234,"Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","Mesoplodon_densirostris","","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"37",235,"Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","Mesoplodon_mirus","","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"38",236,"Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","Mesoplodon_ginkgodens","","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"39",237,"Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mesoplodon","Mesoplodon_mirus","","","","Mamiferos marinos",9,"https://www.researchgate.net/publication/235993961_Odontocetes_of_the_Southern_Ocean_Sanctuary",NA,""
"40",249,"Chordata","Mammalia","Cetartiodactyla","Delphinidae ","Delphinus","Delphinus*","","","","Mamiferos marinos",11,"https://doi.org/10.3354/meps11689",NA,""
"41",250,"Chordata","Mammalia","Carnivora","Otariidae ","Otaria","Otaria*","","","","Mamiferos marinos",11,"https://doi.org/10.3354/meps11689",NA,""
"42",260,"Chordata","Mammalia","Cetartiodactyla","Delphinidae ","Lagenorhynchus","Lagenorhynchus_australis","Delfín Austral","Pelágico","","Mamiferos marinos",11,"https://doi.org/10.3354/meps11689",NA,""
"43",262,"Chordata","Mammalia","Carnivora ","Phocidae ","Mirounga","Mirounga_leonina","","","CAA","Mamiferos marinos",10,"https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.974.9404&rep=rep1&type=pdf",NA,""
