"","ID","Filum","Clase","Orden","Familia","Género","Especie.trófica","Nombre.común","Hábitat","Dominio","Expertise","Referencia","Enlace","X","X.1"
"1",33,"Chordata","Actinopterygii","Perciformes","Nototeniidae",NA,"Nototeniidae*",NA,"Pelágico","","Peces",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"2",108,"Chordata","Actinopteri","Perciformes ","Congiopodidae ","Congiopodus","Congiopodus_peruvianus",NA,"","","Peces",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"3",109,"Chordata","Actinopteri","Gadiformes","Macrouridae","Coelorhinchus","Coelorhinchus_fasciatus",NA,"","","Peces",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"4",110,"Chordata","Actinopteri","Gadiformes","Moridae ","Lepidion","Lepidion_ensiferus","","","","Peces",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"5",111,"Chordata","Actinopteri","Gadiformes","Macrouridae",NA,"Macrouridae*","","","","Peces",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"6",112,"Chordata","Myxini","Myxiniformes","Myxinidae",NA,"Myxinidae*","","","","Peces",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"7",113,"Chordata","Actinopteri","Perciformes ","Bovichtidae ",NA,"Bovichtidae* ","","","","Peces",1,"https://doi.org/10.3989/scimar.1999.63s1155",NA,""
"8",119,"Chordata","Actinopteri","Argentiniformes ","Bathylagidae ","Bathylagichthys","Bathylagichthys_parini","","","","Peces",3,"https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf",NA,""
"9",120,"Chordata","Actinopteri","Gadiformes","Muraenolepididae","Muraenolepis","Muraenolepis*","","","","Peces",3,"https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf",NA,""
"10",121,"Chordata","Actinopteri","Gadiformes","Merlucciidae","Macruronus","Macruronus_magellanicus","Merluza de cola","Demersal","","Peces",3,"https://www.researchgate.net/profile/Fernando-Balbontin-2/publication/285663113_Distribution_and_abundance_of_fish_larvae_from_the_Strait_of_Magellan_to_the_Cape_Horn_Chile/links/596f584daca27280fda310ab/Distribution-and-abundance-of-fish-larvae-from-the-Strait-of-Magellan-to-the-Cape-Horn-Chile.pdf",NA,""
