"","ID","Presa","Grupo.funcional.presa","Depredador","Grupo.funcional.depredador","Estrategia","Fuente","Expertise.depredador","Expertise.presa","Referencia","Enlace","Referente"
"1",506,"Cephalopoda*","Cephalopoda","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Cefalopodos",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14864",NA
"2",507,"Macruronus_magellanicus","Gadiformes ","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Peces demersales",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14865",NA
"3",508,"Malacosteus_australis","Stomiiformes","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Peces",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14866",NA
"4",509,"Notophycis_marginata","Gadiformes ","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Peces",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14866",NA
"5",510,"Salilota_australis","Gadiformes ","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Peces",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14866",NA
"6",511,"Macrourus_holotrachys","Gadiformes ","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Peces",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14866",NA
"7",512,"Coelorinchus_fasciatus","Gadiformes ","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Peces",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14866",NA
"8",513,"Dissostichus_eleginoides","Perciformes","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Peces demersales",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14866",NA
"9",514,"Patagonotothen_ramsayi","Perciformes","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Peces",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14866",NA
"10",515,"Merluccius_australis","Gadiformes ","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Peces demersales",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14866",NA
"11",516,"Genypterus_blacodes","Ophidiiformes","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Peces",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14866",NA
"12",517,"Bathyraja*","Rajiformes","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Condrictios",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14866",NA
"13",518,"Dipturus*","Rajiformes","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Condrictios",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14866",NA
"14",519,"Micromesistius_australis","Gadiformes ","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Peces",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14866",NA
"15",520,"Sprattus_fuegensis","Clupeiformes ","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Sardinas",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14866",NA
"16",521,"Ilex_argentinus","Cephalopoda","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Cefalopodos",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14866",NA
"17",522,"Moroteuthopsis_ingens","Cephalopoda","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Cefalopodos",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14866",NA
"18",523,"Octopus*","Cephalopoda","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Cefalopodos",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14866",NA
"19",524,"Natantia*","Crustacea","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Crustaceos",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14866",NA
"20",525,"Lithodes_santolla","Malacostraca","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Crustaceos peracaridos",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14866",NA
"21",526,"Euphausia*","Malacostraca","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Crustaceos peracaridos",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14866",NA
"22",527,"Munida_gregaria","Malacostraca","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Crustaceos peracaridos",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14866",NA
