"","ID","Presa","Grupo.funcional.presa","Depredador","Grupo.funcional.depredador","Estrategia","Fuente","Expertise.depredador","Expertise.presa","Referencia","Enlace","Referente"
"1",28,"Sprattus_fuegensis","Clupeiformes ","Grampus_griseus","Delphinidae","","Heterótrofo","Mamiferos marinos","Sardinas",8,"https://doi.org/10.3354/meps08826",NA
"2",52,"Sprattus_fuegensis","Clupeiformes ","Lagenorhynchus_cruciger","Delphinidae","","Heterótrofo","Mamiferos marinos","Sardinas",8,"https://doi.org/10.3354/meps08826",NA
"3",97,"Sprattus_fuegensis","Clupeiformes ","Pseudorca_crassidens","Delphinidae","","Heterótrofo","Mamiferos marinos","Sardinas",8,"https://doi.org/10.3354/meps08826",NA
"4",111,"Sprattus_fuegensis","Clupeiformes ","Cephalorhynchus_commersonii","Delphinidae","","Heterótrofo","Mamiferos marinos","Sardinas",8,"https://doi.org/10.3354/meps08826",NA
"5",142,"Sprattus_fuegensis","Clupeiformes ","Phocoena_dioptrica","Phocoenidae","","Heterótrofo","Mamiferos marinos","Sardinas",8,"https://doi.org/10.3354/meps08826",NA
"6",155,"Sprattus_fuegensis","Clupeiformes ","Phocoena_spinipinnis","Phocoenidae","","Heterótrofo","Mamiferos marinos","Sardinas",8,"https://doi.org/10.3354/meps08826",NA
"7",181,"Sprattus_fuegensis","Clupeiformes ","Spheniscus_magellanicus_male","Sphenisciformes","","Heterótrofo","Aves marinas","Sardinas",11,"https://doi.org/10.3354/meps11689",NA
"8",182,"Sprattus_fuegensis","Clupeiformes ","Spheniscus_magellanicus_female","Sphenisciformes","","Heterótrofo","Aves marinas","Sardinas",11,"https://doi.org/10.3354/meps11689",NA
"9",187,"Engraulidae*","Clupeiformes ","Spheniscus_magellanicus_male","Sphenisciformes","","Heterótrofo","Aves marinas","Sardinas",11,"https://doi.org/10.3354/meps11689",NA
"10",188,"Engraulidae*","Clupeiformes ","Spheniscus_magellanicus_female","Sphenisciformes","","Heterótrofo","Aves marinas","Sardinas",11,"https://doi.org/10.3354/meps11689",NA
"11",449,"Sprattus_fuegensis","Clupeiformes ","Aves","","Cazador","Heterótrofo","Aves marinas","Sardinas",15,"https://doi.org/10.1007/s00300-018-2394-2",NA
"12",451,"Sprattus_fuegensis","Clupeiformes ","Peces","","Cazador","Heterótrofo","Peces","Sardinas",15,"https://doi.org/10.1007/s00300-018-2394-2",NA
"13",453,"Sprattus_fuegensis","Clupeiformes ","Mamiferos marinos","","Cazador","Heterótrofo","Mamiferos marinos","Sardinas",15,"https://doi.org/10.1007/s00300-018-2394-2",NA
"14",456,"Sprattus_fuegensis","Clupeiformes ","Spheniscus_magellanicus","Sphenisciformes","Cazador","Heterótrofo","Aves marinas","Sardinas",16,"https://doi.org/10.1111/ibi.12547",NA
"15",520,"Sprattus_fuegensis","Clupeiformes ","Lamna_nasus","Lamniformes","Cazador","Heterótrofo","Condrictios","Sardinas",26,"https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.14866",NA
