ID,Filum,Clase,Orden,Familia,Género,Especie trófica,Nombre común,Hábitat,Dominio,Expertise,Referencia,Enlace
1,Bryozoa,Gymnolaemata ,Cheilostomatida ,Celleporidae ,NA,Celleporidae* ,NA,Bentónico,CB,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
2,Echinodermata,Asteroidea,NA,NA,NA,Asteroidea*,NA,Bentónico,CB,Asteroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
3,Bryozoa,Gymnolaemata ,Cheilostomatida ,Celleporidae ,Osthimosia,Osthimosia*,NA,Bentónico,CB,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
4,Echinodermata,Echinoidea,Cidaroida,Cidaridae,NA,Cidaridae*,NA,Bentónico,CB,Erizos de mar,1,https://doi.org/10.3989/scimar.1999.63s1155
5,Arthropoda,Crustacea,Decapoda,Malacostracea,Natantia,Natantia*,NA,Bentónico,CB,Crustáceos,1,https://doi.org/10.3989/scimar.1999.63s1155
6,Mollusca,Gastropoda,NA,NA,NA,Gastropoda*,NA,Bentónico,CB,Gasteropodos,1,https://doi.org/10.3989/scimar.1999.63s1155
7,Bryozoa,Gymnolaemata ,Cheilostomatida,Smittinidae,Smittina,Smittina*,NA,Bentónico,CB,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
8,Echinodermata,Asteroidea,Velatida,Pterasteridae,Colyptraster,Colyptraster_tenuissimus,NA,Bentónico,CB,Asteroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
9,Porifera,NA,NA,NA,NA,Porifera*,NA,Bentónico ,CB,Porifera,1,https://doi.org/10.3989/scimar.1999.63s1155
10,Echinodermata,Holothuroidea ,Dendrochirotida,Psolidae,Psolus,Psolus_patagonicus,Pepino de roca Patagónico,Bentónico,CB,Holoturoideos,1,https://doi.org/10.3989/scimar.1999.63s1155
11,Echinodermata,Holothuroidea ,Dendrochirotida,NA,NA,Dendrochirotida*,Dendroquirótidos,Bentónico,CB,Holoturoideos,1,https://doi.org/10.3989/scimar.1999.63s1155
12,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Gorgonaria,Gorgonaria*,Gorgonia,Bentónico,CB,Cnidarios,1,https://doi.org/10.3989/scimar.1999.63s1155
13,Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,NA,Alcyoniidae*,Alciónidos,Bentónico,CB,Cnidarios,1,https://doi.org/10.3989/scimar.1999.63s1155
14,Echinodermata,Ophiruidea,NA,NA,NA,Ophiruidea*,Ofiuras,Bentopelágico,CB,Ofiuroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
15,Echinodermata,Holothuroidea,Apodida,NA,NA,Apodida*,Apódidos,Bentónico,CB,Holoturoideos,1,https://doi.org/10.3989/scimar.1999.63s1155
16,Mollusca,Bivalvia,Mytiloidea,Mytilidae,Mytilus,Mytilus_chilensis,Mejillón,Bentónico,CB,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
17,Echinodermata,Crinoidea,NA,NA,NA,Crinoidea*,Lirios de mar,Bentónico,CB,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
18,Chordata,Ascidiacea,Synascidian,NA,NA,Synascidian*,NA,Bentónico,CB,Ascidias,1,https://doi.org/10.3989/scimar.1999.63s1155
19,Chordata,Ascidiacea,NA,NA,NA,Ascidiacea*,NA,Bentónico,CB,Ascidias,1,https://doi.org/10.3989/scimar.1999.63s1155
20,Mollusca,Polyplacophora,NA,NA,NA,Polyplacophora*,Poliplacóforos,Bentónico,CB,Polipacóforos,1,https://doi.org/10.3989/scimar.1999.63s1155
21,Annelida,Polychaeta,Terebellida,Terebellidae,Lanice,Lanice*,Gusanos de cerdas,Bentónico,CB,Poliquetos,1,https://doi.org/10.3989/scimar.1999.63s1155
22,Rhodophyta,Florideophyceae,Corallinales,Hapalidiaceae,Lithothamnion,Lithothamnion*,Alga roja,Bentónico,CB,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
23,Annelida,Polychaeta,Canalipalpata,Chaetopteridae,Chaetopterus,Chaetopterus*,Gusano tubo de pergamino,Bentónico,CB,Poliquetos,1,https://doi.org/10.3989/scimar.1999.63s1155
24,Annelida,Polychaeta,Canalipalpata,Serpulidae,NA,Serpulidae*,Serpúlidos,Bentónico,CB,Poliquetos,1,https://doi.org/10.3989/scimar.1999.63s1155
25,Echinodermata,Echinoidea,NA,NA,NA,Echinoidea*,NA,Bentónico,CB,Erizos de mar,1,https://doi.org/10.3989/scimar.1999.63s1155
26,Rhodophyta,Florideophyceae,Corallinales,Hapalidiaceae,Messophyllum,Messophyllum*,Alga roja,Bentónico,CB,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
27,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,Callophyllis_variegata,Carola,Bentónico,CB,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
28,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,Callophyllis_astrosanguinea,NA,Bentónico,CB,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
29,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Iridaea,Iridaea_codata,NA,Bentónico,CB,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
30,Arthropoda,Malacostraca,Decapoda,Munididae,Munida,Munida_subrugosa,Langosta,Bentónico,CB,Crustaceos peracaridos,1,https://doi.org/10.3989/scimar.1999.63s1155
31,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,Macrocystis_pyrifera,Kelp,Bentónico,CB,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
32,Arthropoda,Malacostraca,Decapoda,Atelecyclidae,Peltarion,Peltarion_spinosulum,Cangrejo peludo,Bentónico,CB,Crustaceos peracaridos,1,https://doi.org/10.3989/scimar.1999.63s1155
33,Chordata,Actinopterygii,Perciformes,Nototeniidae,NA,Nototeniidae*,NA,Pelágico,,Peces,1,https://doi.org/10.3989/scimar.1999.63s1155
34,Echinodermata,Asteroidea,Forcipulatida,Stichasteridae,Cosmasterias,Cosmasterias_lurida,Estrella vioeta,Bentónico,CB,Asteroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
35,Cnidaria,Anthozoa,NA,NA,NA,Anthozoa*,NA,Bentónico,,Cnidarios,1,https://doi.org/10.3989/scimar.1999.63s1155
36,Mollusca,Gastropoda,Neogastropoda,Muricidae,Trophon,Trophon*,NA,Bentónico,,Gasteropodos,1,https://doi.org/10.3989/scimar.1999.63s1155
37,Echiodermata,Echinoidea,Temnopleuroida,Temnopleuridae,Pseudechinus ,Pseudechinus_magellanicus,Erizo de mar ,Bentónico,CB,Erizos de mar,1,https://doi.org/10.3989/scimar.1999.63s1155
38,Echiodermata,Echinoidea,Echinoida,Echinidae,Loxechinus,Loxechinus_albus,Erizo de mar chileno,Bentónico,CB,Erizos de mar,1,https://doi.org/10.3989/scimar.1999.63s1155
39,Mollusca,Gastropoda,Trochida,Calliostomatidae,Photinula,Photinula_caerulescens,NA,,,Gasteropodos,1,https://doi.org/10.3989/scimar.1999.63s1155
40,Echinodermata,Ophiruidea,Ophiacanthida ,Ophiacanthidae,Ophiacantha,Ophiacantha_vivipara,Ofiura,,,Ofiuroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
41,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus_gaudichaudii,Cangrejo ermitaño,Bentónico,CB,Crustaceos peracaridos,1,https://doi.org/10.3989/scimar.1999.63s1155
42,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus_comptus,Cangrejo eritaño patagónico,Bentónico,CB,Crustaceos peracaridos,1,https://doi.org/10.3989/scimar.1999.63s1155
43,Brachiopoda,Rhynchonellata,Terebratulida,Terebratellidae,Terebratula,Terebratula_dorsata,NA,Bentónico,,Braquiópodos,1,https://doi.org/10.3989/scimar.1999.63s1155
44,Brachiopoda,Rhynchonellata,Terebratulida,Terebratellidae,Magellonia,Magellonia_venosa,NA,Bentónico,,Braquiópodos,1,https://doi.org/10.3989/scimar.1999.63s1155
45,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Caliptraea,Caliptraea_pileolus,Sombreritos chinos,Bentónico,,Gasteropodos,1,https://doi.org/10.3989/scimar.1999.63s1155
46,Mollusca,Bivalvia,Pectinoida,Pectinidae,Chlamys,Chlamys_patagonica,Vieira patagónica,Bentónico,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
47,Mollusca,Bivalvia,Pectinoida,Pectinidae,Chlamys,Chlamys_vitrea,Vieira,Bentónico,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
48,Bryozoa,Cyclostomata,NA,NA,NA,Cyclostomata*,NA,NA,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
49,Bryozoa,Gymnolaemata,Cheilostomatida,Phidoloporidae,Reteporella,Reteporella_magellenesis,NA,NA,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
50,Chlorophyta,Ulvophyceae,Ulvales,Ulvaceae,Ulva,Ulva_lactuca,Lechuga de mar,NA,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
51,Arthropoda,Malacostraca,Brachyura,NA,NA,Brachyura*,NA,NA,,Crustaceos peracaridos,1,https://doi.org/10.3989/scimar.1999.63s1155
52,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Polisiphonia,Polisiphonia_anisogona,NA,Bentónico,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
53,Arthropoda,Malacostraca,Decapoda,Inachidae,Eurypodius,Eurypodius_latreilli,Cangrejo,Bentónico,,Crustaceos peracaridos,1,https://doi.org/10.3989/scimar.1999.63s1155
54,Mollusca,Gastropoda ,Neogastropoda,Cominellidae ,Pareuthria,Pareuthria_plumbea,NA,Bentónico,,Gasteropodos,1,https://doi.org/10.3989/scimar.1999.63s1155
55,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,Macrocystis*,NA,Bentónico,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
56,Ochrophyta,Phaeophyceae ,Laminariales ,Lessoniaceae,Lessonia,Lessonia*,NA,NA,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
57,Mollusca,Bivalvia,Veneridae ,Venerida,Venus,Venus_antiqua,NA,NA,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
58,Mollusca,Bivalvia,Anomalodesmata ,Laternulidae,Laternula,Laternula*,NA,NA,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
59,Cnidaria,Hydrozoa,NA,NA,NA,Hydrozoa*,NA,NA,,Cnidarios,1,https://doi.org/10.3989/scimar.1999.63s1155
60,Bryozoa,Gymnolaemata ,Cheilostomatida,Flustridae ,Carbasea,Carbasea_ovoidea,NA,NA,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
61,Echinodermata,Holothuroidea,Aspidochirotida,Cymatiidae,Fussitriton,Fussitriton*,NA,NA,,Holoturoideos,1,https://doi.org/10.3989/scimar.1999.63s1155
62,Annelida,Polychaeta,Sabellida,Serpulidae,Serpula,Serpula_narconensis,NA,Bentónico,,Poliquetos,1,https://doi.org/10.3989/scimar.1999.63s1155
63,Bryozoa ,Stenolaemata ,Cyclostomatida,Horneridae ,Hornera,Hornera*,NA,NA,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
64,Bryozoa ,Gymnolaemata ,Cheilostomatida,Adeonidae ,Adeonella,Adeonella*,NA,NA,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
65,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,Solaster_regularis,Estrella de sol,Bentónico,,Asteroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
66,Echinodermata,Holothuroidea ,Dendrochirotida,NA,NA,Dendrochirotida*,NA,NA,,Holoturoideos,1,https://doi.org/10.3989/scimar.1999.63s1155
67,Echinodermata,Ophiuroidea,Ophiurida ,Ophiuridae,Ophiuroglypha,Ophiuroglypha_lymani,Ofiura rosada,Bentónico,,Ofiuroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
68,Echinodermata,Echinoidea,Spatangoida ,Schizasteridae,Trypilaster,Trypilaster*,NA,NA,,Erizos de mar,1,https://doi.org/10.3989/scimar.1999.63s1155
69,Echinodermata,Ophiuroidea,Ophiurida ,Ophiuridae,Ophiocten,Ophiocten_amitinum,NA,Bentónico,,Ofiuroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
70,Porifera,Demospongiae,Haplosclerida,NA,NA,Haplosclerida*,NA,NA,,Porifera,1,https://doi.org/10.3989/scimar.1999.63s1155
71,Echinodermata,Asteroidea,Valvatida,Solasteridae,Lophaster,Lophaster*,NA,NA,,Asteroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
72,Mollusca,Gastropoda,Neogastropoda,Volutidae,Odontocymbiola,Odontocymbiola*,NA,NA,,Gasteropodos,1,https://doi.org/10.3989/scimar.1999.63s1155
73,Bryozoa,Gymnolaemata ,Cheilostomatida ,Flustridae,NA,Flustridae*,NA,NA,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
74,Arthropoda,Malacostraca,Isopoda,Serolidae,NA,Serolidae*,NA,NA,,Crustaceos isopodos,1,https://doi.org/10.3989/scimar.1999.63s1155
75,Rhodophyta ,Florideophyceae,Gelidiales ,Gelidiaceae,Gellidus,Gellidus_rudis,NA,Bentónico,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
76,Echinodermata,Asteroidea,Forcipulatida ,Heliasteridae,Labidiaster,Labidiaster_radiosus,Estrella de rayos pegajosos,NA,,Asteroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
77,Echinodermata,Asteroidea,Valvatida ,Poraniidae,Porania,Porania_antartica,NA,Bentónico,,Asteroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
78,Cnidaria,Anthozoa,Malacalcyonacea ,Alcyoniidae,Alcyonidium,Alcyonidium_australe,NA,Bentónico,,Cnidarios,1,https://doi.org/10.3989/scimar.1999.63s1155
79,Echinodermata,Asteroidea,Valvatida,Asterinidae ,Ganeria,Ganeria*,NA,NA,,Asteroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
80,Echinodermata,Asteroidea,Valvatida,Odontasteridae,Asterodon,Asterodon*,NA,NA,,Asteroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
81,Arthropoda,Malacostraca ,Decapoda,Campylonotidae,Campylonotus,Campylonotus_vagans,Camarón pintado,Bentónico,,Crustaceos peracaridos,1,https://doi.org/10.3989/scimar.1999.63s1155
82,Echinodermata,Asteroidea,Paxillosida ,Astropectinidae,Bathybiaster,Bathybiaster_loripes,NA,Bentónico,,Asteroideos,1,https://doi.org/10.3989/scimar.1999.63s1155
83,Mollusca,Gastropoda,Neogastropoda ,Fasciolariidae,Trophon,Trophon_geversianus,NA,Bentónico,,Gasteropodos,1,https://doi.org/10.3989/scimar.1999.63s1155
84,Mollusca,Gastropoda,Neogastropoda ,Conidae,Ximeniconus,Ximeniconus_muriciformis,NA,Bentónico,,Gasteropodos,1,https://doi.org/10.3989/scimar.1999.63s1155
85,Bryozoa,Gymnolaemata ,Cheilostomatida,Flustridae ,Carbasea,Carbasea_darwini,NA,Bentónico,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
86,Cnidaria,Hydrozoa,Anthoathecata,Stylasteridae ,Errinopora,Errinopora*,NA,NA,,Cnidarios,1,https://doi.org/10.3989/scimar.1999.63s1155
87,Porifera,Demospongiae ,Axinellida,Axinellidae,NA,Axinellidae*,NA,Bentónico,,Porifera,1,https://doi.org/10.3989/scimar.1999.63s1155
88,Porifera,Demospongiae ,Tetractinellida,Tetillidae ,Cinachyra,Cinachyra*,NA,Bentónico,,Porifera,1,https://doi.org/10.3989/scimar.1999.63s1155
89,Porifera,Demospongiae ,Poecilosclerida,Mycalidae ,Mycale,Mycale_magellonica,NA,Bentónico,,Porifera,1,https://doi.org/10.3989/scimar.1999.63s1155
90,Bryozoa,Gymnolaemata ,Cheilostomatida,Smittinidae ,Parasmittina,Parasmittina*,NA,NA,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
91,Bryozoa,Gymnolaemata ,Cheilostomatida,Smittinidae,NA,Smittinidae*,NA,NA,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
92,Bryozoa,Gymnolaemata ,Cheilostomatida,Cellariidae,Cellaria,Cellaria*,NA,NA,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
93,Bryozoa,Gymnolaemata ,Cheilostomatida,Adeonidae ,Adeonella,Adeonella*,NA,NA,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
94,Cnidaria,Hydrozoa,Anthoathecata ,Stylasteridae,NA,Stylasteridae*,NA,NA,,Cnidarios,1,https://doi.org/10.3989/scimar.1999.63s1155
95,Cnidaria,Anthozoa,Scleractinaria,NA,NA,Scleractinaria*,NA,NA,,Cnidarios,1,https://doi.org/10.3989/scimar.1999.63s1155
96,Cnidaria,Anthozoa,Pennatularia,NA,NA,Pennatularia*,NA,NA,,Cnidarios,1,https://doi.org/10.3989/scimar.1999.63s1155
97,Mollusca,Bivalvia,Mytilida,Mytilidae ,Aulacomya,Aulacomya_ater,NA,Bentónico,,Bentos,1,https://doi.org/10.3989/scimar.1999.63s1155
98,Mollusca,Cephalopoda,Octopoda,NA,NA,Octopoda*,NA,NA,,Cefalopodos,1,https://doi.org/10.3989/scimar.1999.63s1155
99,Annelida,Polychaeta,Echiuroidea,NA,NA,Echiuroidea*,NA,NA,,Poliquetos,1,https://doi.org/10.3989/scimar.1999.63s1155
